id,grade,race_instance_id,music_id
1,100,102101,1007
2,100,102201,1007
3,100,102401,1007
4,100,100401,1005
5,100,100901,1005
6,100,101401,1005
7,100,100501,1028
8,100,101001,1028
9,100,101501,1028
10,100,100601,1008
11,100,101601,1008
12,100,102301,1008
13,100,100101,1009
14,100,102001,1009
15,100,100201,1027
16,100,101301,1027
17,100,101801,1027
18,100,100701,1027
19,100,101101,1027
20,100,100801,1027
21,100,100301,1010
22,100,101701,1010
23,100,101901,1010
24,100,101201,1010
25,100,110101,1009
26,100,110201,1009
27,100,110301,1009
28,100,110401,1009
29,100,110501,1009
30,100,110601,1009
31,100,910201,1001
32,100,910202,1001
33,100,910203,1001
34,100,910204,1001
35,100,910205,1001
36,100,910206,1001
37,100,910207,1001
38,100,910208,1001
39,100,910209,1001
40,100,910210,1001
41,100,910211,1001
42,100,910212,1001
43,100,910213,1001
44,100,910214,1001
45,100,910215,1001
46,100,910216,1001
47,100,910217,1001
48,100,910218,1001
49,100,910219,1001
50,100,910220,1001
51,100,910221,1001
52,100,910222,1001
53,100,910223,1001
54,100,910224,1001
55,100,910225,1001
56,100,910226,1001
57,100,910227,1001
58,100,910228,1001
59,100,910229,1001
60,100,910230,1001
61,100,910231,1001
62,100,910232,1001
63,100,910233,1001
64,100,910234,1001
65,100,910235,1001
66,100,910236,1001
67,100,910237,1001
68,100,910238,1001
69,100,910239,1001
70,100,910240,1001
71,100,910241,1001
72,200,0,1006
73,300,0,1006
74,400,0,1006
75,500,0,1006
76,600,0,1006
77,700,0,1006
78,800,0,1006
79,900,0,1006
80,100,102601,1028
81,100,102501,1010
82,100,620155,1035
83,100,102701,1008
84,100,920083,1048
85,100,920084,1048
86,100,920085,1048
87,100,920086,1048
88,100,920087,1048
89,100,920088,1048
90,100,920089,1048
91,100,920090,1048
92,100,920091,1048
93,100,920092,1048
94,100,920093,1048
95,100,920094,1048
96,100,920095,1048
97,100,920096,1048
98,100,920097,1048
99,100,920098,1048
100,100,920099,1048
101,100,920100,1048
102,100,920101,1048
103,100,920102,1048
104,100,920103,1048
105,100,920104,1048
106,100,920105,1048
107,100,920106,1048
108,100,920107,1048
109,100,920108,1048
110,100,920109,1048
111,100,920110,1048
112,100,920111,1048
113,100,920112,1048
114,100,920113,1048
115,100,920114,1048
116,100,920115,1048
117,100,920116,1048
118,100,920117,1048
119,100,920118,1048
120,100,920119,1048
121,100,920120,1048
122,100,920121,1048
123,100,920122,1048
124,100,920123,1048
125,100,102801,1028
126,100,110701,1009
127,100,110801,1007
128,100,110901,1009
129,100,111001,1009
130,100,111101,1009
131,100,111201,1009
132,100,111301,1009
133,100,111401,1009
134,100,111501,1009
135,100,111601,1009
136,100,111701,1009
137,100,111801,1009
138,100,111901,1009
139,100,621013,1035
140,100,930124,1058
141,100,930125,1058
142,100,930126,1058
143,100,930127,1058
144,100,930128,1058
145,100,930129,1058
146,100,930130,1058
147,100,930131,1058
148,100,930132,1058
149,100,930133,1058
150,100,930134,1058
151,100,930135,1058
152,100,930136,1058
153,100,930137,1058
154,100,930138,1058
155,100,930139,1058
156,100,930140,1058
157,100,930141,1058
158,100,930142,1058
159,100,930143,1058
160,100,930144,1058
161,100,930145,1058
162,100,930146,1058
163,100,930147,1058
164,100,930148,1058
165,100,930149,1058
166,100,930150,1058
167,100,930151,1058
168,100,930152,1058
169,100,930153,1058
170,100,930154,1058
171,100,930155,1058
172,100,930156,1058
173,100,930157,1058
174,100,930158,1058
175,100,930159,1058
176,100,930160,1058
177,100,930161,1058
178,100,930162,1058
179,100,930163,1058
180,100,930164,1058
