id,scenario_id,bg_id,group_id,pos_x,pos_z,rotation_y,motion_set_id
212401,2,124,1,-1306,12672,162631,50010
212402,2,124,1,857,10615,214429,50007
212403,2,124,1,-830,10670,323703,50009
212404,2,124,2,-760,6040,45970,50017
212405,2,124,2,-850,10590,146711,50012
212406,2,124,2,853,9614,218841,50006
212407,2,124,3,-820,13870,160840,50016
212408,2,124,3,990,8320,243910,50013
212409,2,124,3,-830,7820,136003,50014
212410,2,124,4,710,11080,168404,50008
212411,2,124,4,833,7196,207169,50018
212412,2,124,4,-820,9630,137432,50020
