id,item_exchange_disp_order,item_exchange_type,item_top_category,is_anniv_shop_top,shop_enter_trigger,start_date,end_date
2000,10,0,0,0,0,1496242800,2542978799
3000,70,0,0,0,0,1496242800,2542978799
4000,60,0,0,0,0,1496242800,2542978799
5000,80,1,0,0,0,1496242800,2542978799
5001,81,1,0,0,0,1496242800,2542978799
5002,82,1,0,0,0,1496242800,2542978799
5003,83,1,0,0,0,1496242800,2542978799
5500,90,0,0,0,0,1496242800,2542978799
5501,91,0,0,0,0,1496242800,2542978799
5502,92,1,0,0,0,1496242800,2542978799
5503,93,1,0,0,0,1496242800,2542978799
5504,94,1,0,0,0,1496242800,2542978799
7000,30,0,0,0,0,1496242800,2542978799
7001,40,0,0,0,0,1496242800,2542978799
7002,50,0,0,0,0,1496242800,2542978799
8000,20,0,0,0,0,1496242800,2542978799
9000,100,0,0,0,0,1496242800,2542978799
10000,75,0,0,0,0,1496242800,2542978799
10001,77,0,0,0,0,1496242800,2542978799
11000,78,0,1,0,0,1639450800,1640401199
11001,78,0,1,0,0,1648090800,1648781999
11002,78,0,1,0,0,1663642800,1664679599
12000,96,0,2,1,12006,1644807600,1648522799
12001,97,0,2,0,12006,1644807600,1648522799
12002,98,0,2,0,12006,1644807600,1648522799
12003,99,0,2,1,12007,1660618800,1664420399
12004,100,0,2,0,12007,1660618800,1664420399
12005,96,0,2,1,12008,1676343600,1680058799
12006,97,0,2,0,12008,1676343600,1680058799
20001,95,0,1,0,0,1641870000,1642733999
20002,95,0,1,0,0,1649991600,1650855599
20003,95,0,1,0,0,1674442800,1675306799
