group_id,pattern,asset_id,odds
100,1,111000001,100
100,1,111000002,100
100,1,111000003,100
100,1,111000004,100
100,1,111000005,100
100,1,111000006,100
100,1,111000007,100
100,1,111000008,100
100,1,111000009,100
100,1,111000010,100
100,1,111000011,100
100,2,121000001,100
100,2,121000002,100
100,2,121000003,100
100,2,121000004,100
100,2,121000005,100
100,2,121000006,100
100,2,121000007,100
100,2,121000008,100
100,2,121000009,100
100,2,121000010,100
100,2,121000011,100
110,1,111000001,100
110,1,112000002,100
110,1,111000003,100
110,1,112000004,100
110,1,111000005,100
110,1,112000006,100
110,1,111000007,100
110,1,112000008,100
110,1,111000009,100
110,1,112000010,100
110,1,111000011,100
110,2,122000001,100
110,2,121000002,100
110,2,122000003,100
110,2,121000004,100
110,2,122000005,100
110,2,121000006,100
110,2,122000007,100
110,2,121000008,100
110,2,122000009,100
110,2,121000010,100
110,2,122000011,100
120,1,112000001,100
120,1,112000002,100
120,1,112000003,100
120,1,112000004,100
120,1,112000005,100
120,1,112000006,100
120,1,112000007,100
120,1,112000008,100
120,1,112000009,100
120,1,112000010,100
120,1,112000011,100
120,2,122000001,100
120,2,122000002,100
120,2,122000003,100
120,2,122000004,100
120,2,122000005,100
120,2,122000006,100
120,2,122000007,100
120,2,122000008,100
120,2,122000009,100
120,2,122000010,100
120,2,122000011,100
200,1,111000001,100
200,1,111000010,100
200,1,111000009,100
200,1,111000007,100
200,2,121000002,100
200,2,121000011,100
200,2,121000006,100
200,2,121000007,100
200,3,113000001,100
200,3,113000002,100
200,3,113000003,100
200,3,113000004,100
200,3,114000001,100
200,3,114000002,100
200,3,114000003,100
200,4,123000001,100
200,4,123000002,100
200,4,123000003,100
200,4,123000004,100
200,4,124000001,100
200,4,124000002,100
200,4,124000003,100
210,1,111000001,100
210,1,112000010,100
210,1,111000009,100
210,1,112000007,100
210,2,122000002,100
210,2,121000011,100
210,2,122000006,100
210,2,121000007,100
210,3,113000001,100
210,3,113200002,100
210,3,113000003,100
210,3,113200004,100
210,3,114000001,100
210,3,114000002,100
210,3,114000003,100
210,4,123200001,100
210,4,123200002,100
210,4,123200003,100
210,4,123200004,100
210,4,124000001,100
210,4,124000002,100
210,4,124000003,100
220,1,112000001,100
220,1,112000010,100
220,1,112000009,100
220,1,112000007,100
220,2,122000002,100
220,2,122000011,100
220,2,122000006,100
220,2,122000007,100
220,3,113200001,100
220,3,113200002,100
220,3,113200003,100
220,3,113200004,100
220,3,114000001,100
220,3,114000002,100
220,3,114000003,100
220,4,123200001,100
220,4,123200002,100
220,4,123200003,100
220,4,123200004,100
220,4,124000001,100
220,4,124000002,100
220,4,124000003,100
