id,story_extra_id,episode_index_id,story_type_1,story_id_1,story_type_2,story_id_2,story_type_3,story_id_3,story_type_4,story_id_4,story_type_5,story_id_5,add_reward_category_1,add_reward_id_1,add_reward_num_1,add_reward_category_2,add_reward_id_2,add_reward_num_2,start_date,notice_end_date,end_date
1,1001,1,1,100000001,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1629082800,1632884399,2556068399
2,1001,2,1,100000002,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1629255600,1632884399,2556068399
3,1001,3,1,100000004,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1629428400,1632884399,2556068399
4,1001,4,1,100000005,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1629601200,1632884399,2556068399
5,1001,5,1,100000006,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1629687600,1632884399,2556068399
6,1001,6,1,100000007,2,8,0,0,0,0,0,0,90,43,20,0,0,0,1629774000,1632884399,2556068399
7,1001,7,1,100000008,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1630292400,1632884399,2556068399
8,1001,8,1,100000010,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1630292400,1632884399,2556068399
9,1001,9,1,100000011,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1630292400,1632884399,2556068399
10,1001,10,1,100000012,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1630292400,1632884399,2556068399
11,1002,1,1,100001001,2,10,0,0,0,0,0,0,90,43,20,0,0,0,1645671600,1648522799,2556068399
12,1002,2,1,100001002,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1645671600,1648522799,2556068399
13,1002,3,1,100001003,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1645671600,1648522799,2556068399
14,1003,1,1,100002001,2,14,0,0,0,0,0,0,90,43,20,0,0,0,1661310000,1664420399,2556068399
15,1003,2,1,100002002,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1661310000,1664420399,2556068399
16,1003,3,1,100002003,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1661310000,1664420399,2556068399
17,1004,1,1,100003001,2,16,0,0,0,0,0,0,90,43,20,0,0,0,1677207600,1680058799,2556068399
18,1004,2,1,100003002,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1677207600,1680058799,2556068399
19,1004,3,1,100003003,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1677207600,1680058799,2556068399
