id,chara_id,turn,race_program_id,rival_flag_id,condition_type,rival_chara_id,single_mode_npc_id,frame_order
1,1001,25,193,0,1,1020,10200,0
2,1001,29,169,0,1,1020,10200,0
3,1001,31,163,0,1,1020,10200,0
4,1001,34,166,0,1,1020,1020001,0
5,1001,43,87,0,1,1020,10200,0
6,1001,44,168,0,1,1020,1020002,0
7,1001,48,81,0,1,1020,10200,0
8,1001,54,13,0,1,1020,10200,0
9,1001,56,4,0,1,1020,1020003,0
10,1001,64,82,0,1,1020,10200,0
11,1001,68,76,0,1,1020,10200,0
12,1001,22,635,0,1,1061,10610,0
13,1001,24,625,0,1,1061,10610,0
14,1001,29,169,0,1,1061,10610,0
15,1001,31,163,0,1,1061,10610,0
16,1001,34,166,0,1,1061,1061001,0
17,1001,42,84,0,1,1061,10610,0
18,1001,44,168,0,1,1061,1061002,0
19,1001,48,81,0,1,1061,10610,0
20,1001,51,23,0,1,1061,10610,0
21,1001,54,2,0,1,1061,10610,0
22,1001,59,73,0,1,1061,10610,0
23,1001,66,75,0,1,1061,10610,0
24,1001,68,76,0,1,1061,10610,0
25,1001,70,78,0,1,1061,10610,0
26,1001,27,183,0,1,1014,10140,0
27,1001,31,172,0,1,1014,10140,0
28,1001,33,164,0,1,1014,10140,0
29,1001,43,86,0,1,1014,10140,0
30,1001,70,79,0,1,1014,1014001,0
31,1001,20,649,0,1,1011,10110,0
32,1001,21,626,0,1,1011,10110,0
33,1001,23,624,0,1,1011,10110,0
34,1001,43,86,0,1,1011,10110,0
35,1001,45,90,0,1,1011,10110,0
36,1001,48,81,0,1,1011,10110,0
37,1001,57,16,0,1,1011,10110,0
38,1001,59,73,0,1,1011,10110,0
39,1001,60,74,0,1,1011,10110,0
40,1001,67,86,0,1,1011,10110,0
41,1001,72,81,0,1,1011,1011001,0
42,1002,33,209,0,1,1056,10560,0
43,1002,34,166,0,1,1056,10560,0
44,1002,42,84,0,1,1056,1056001,0
45,1002,44,168,0,1,1056,10560,0
46,1002,53,11,0,1,1056,1056002,0
47,1002,59,93,0,1,1056,10560,0
48,1002,72,81,0,1,1056,10560,0
49,1002,40,82,0,1,1018,10180,0
50,1002,44,76,0,1,1018,10180,0
51,1002,46,79,0,1,1018,10180,0
52,1002,48,81,0,1,1018,10180,0
53,1002,54,3,0,1,1018,10180,0
54,1002,59,93,0,1,1018,10180,0
55,1002,60,74,0,1,1018,1018001,0
56,1002,64,82,0,1,1018,10180,0
57,1002,69,77,0,1,1018,10180,0
58,1002,70,79,0,1,1018,10180,0
59,1002,72,81,0,1,1018,10180,0
60,1002,67,86,0,1,1011,1011003,0
61,1002,69,90,0,1,1011,10110,0
62,1002,72,81,0,1,1011,10110,0
63,1002,67,86,0,1,1014,1014005,0
64,1002,70,79,0,1,1014,10140,0
65,1002,70,79,0,1,1001,10010,0
66,1003,54,12,0,1,1013,10130,0
67,1003,56,4,0,1,1013,1013003,0
68,1003,72,81,0,1,1017,1017001,0
69,1004,54,3,0,1,1017,1017002,0
70,1004,59,73,0,1,1011,1011004,0
71,1004,68,76,0,1,1001,1001005,0
72,1006,27,181,0,1,1045,1045023,0
73,1006,28,199,0,1,1045,10450,0
74,1006,42,84,0,1,1045,10450,0
75,1006,44,168,0,1,1045,10450,0
76,1006,48,81,0,1,1045,1045001,0
77,1006,54,3,0,1,1045,1045002,0
78,1006,67,87,0,1,1045,1045003,0
79,1006,72,81,0,1,1045,1045004,0
80,1006,49,18,0,1,1021,10210,0
81,1006,54,12,0,1,1021,10210,0
82,1006,56,4,0,1,1021,1021001,0
83,1006,68,76,0,1,1021,1021002,0
84,1006,72,81,0,1,1021,1021003,0
85,1007,48,81,0,1,1037,1037001,0
86,1007,54,3,0,1,1037,10370,0
87,1007,56,4,0,1,1037,1037002,0
88,1007,67,86,0,1,1037,1037005,0
89,1007,72,81,0,1,1037,1037003,0
90,1007,60,74,0,1,1048,1048001,0
91,1007,64,82,0,1,1048,10480,0
92,1007,68,76,0,1,1048,1048002,0
93,1007,70,79,0,1,1048,10480,0
94,1007,72,81,0,1,1048,1048003,0
95,1008,14,637,0,1,1009,10090,0
96,1008,25,178,0,1,1009,10090,0
97,1008,29,185,0,1,1009,1009001,0
98,1008,31,162,0,1,1009,1009002,0
99,1008,34,166,0,2,1009,0,0
100,1008,41,176,0,1,1009,10090,0
101,1008,44,167,0,1,1009,1009003,0
102,1008,45,77,0,1,1009,1009004,0
103,1008,48,81,0,1,1009,1009005,0
104,1008,54,3,0,1,1009,10090,0
105,1008,68,76,0,1,1009,1009006,0
106,1008,72,81,0,1,1009,10090,0
107,1009,23,623,0,1,1008,10080,0
108,1009,27,197,0,1,1008,10080,0
109,1009,29,185,0,1,1008,1008001,0
110,1009,31,162,0,1,1008,1008002,0
111,1009,34,166,0,1,1008,1008003,0
112,1009,36,74,0,1,1008,10080,0
113,1009,44,167,0,1,1008,1008004,0
114,1009,46,79,0,1,1008,10080,0
115,1009,68,76,0,1,1008,1008005,0
116,1009,70,79,0,1,1008,10080,0
