id,priority,group_id,condition,win_saddle_type,race_instance_id_1,race_instance_id_2,race_instance_id_3,race_instance_id_4,race_instance_id_5,race_instance_id_6,race_instance_id_7,race_instance_id_8
1,1,1,0,0,100501,101001,101501,0,0,0,0,0
2,3,3,0,0,101601,101901,102301,0,0,0,0,0
3,4,4,0,0,100401,100901,101401,0,0,0,0,0
4,5,5,0,0,100301,100601,101201,0,0,0,0,0
5,7,7,1,0,100601,101601,0,0,0,0,0,0
6,8,8,0,0,101201,102301,0,0,0,0,0,0
7,10,10,0,0,101101,101801,0,0,0,0,0,0
8,11,11,0,0,101301,100201,0,0,0,0,0,0
9,12,12,0,0,100101,102001,0,0,0,0,0,0
10,101,37,0,3,102301,0,0,0,0,0,0,0
11,102,33,0,3,101901,0,0,0,0,0,0,0
12,103,22,0,3,101001,0,0,0,0,0,0,0
13,104,18,0,3,100601,0,0,0,0,0,0,0
14,105,24,0,3,101201,0,0,0,0,0,0,0
15,106,30,0,3,101601,0,0,0,0,0,0,0
16,107,28,0,3,101501,0,0,0,0,0,0,0
17,108,15,0,3,100301,0,0,0,0,0,0,0
18,109,17,0,3,100501,0,0,0,0,0,0,0
19,110,21,0,3,100901,0,0,0,0,0,0,0
20,111,14,0,3,100201,0,0,0,0,0,0,0
21,112,23,0,3,101101,0,0,0,0,0,0,0
22,113,26,0,3,101301,0,0,0,0,0,0,0
23,114,32,0,3,101801,0,0,0,0,0,0,0
24,115,16,0,3,100401,0,0,0,0,0,0,0
25,116,20,0,3,100801,0,0,0,0,0,0,0
26,117,31,0,3,101701,0,0,0,0,0,0,0
27,118,19,0,3,100701,0,0,0,0,0,0,0
28,119,27,0,3,101401,0,0,0,0,0,0,0
29,120,34,0,3,102001,0,0,0,0,0,0,0
30,121,13,0,3,100101,0,0,0,0,0,0,0
31,122,43,0,3,110501,0,0,0,0,0,0,0
32,123,44,0,3,110601,0,0,0,0,0,0,0
33,124,36,0,3,102201,0,0,0,0,0,0,0
34,125,38,0,3,102401,0,0,0,0,0,0,0
35,126,35,0,3,102101,0,0,0,0,0,0,0
36,127,39,0,3,110101,0,0,0,0,0,0,0
37,128,42,0,3,110401,0,0,0,0,0,0,0
38,129,40,0,3,110201,0,0,0,0,0,0,0
39,130,41,0,3,110301,0,0,0,0,0,0,0
40,201,45,0,2,200101,0,0,0,0,0,0,0
41,202,46,0,2,200201,0,0,0,0,0,0,0
42,203,47,0,2,200301,0,0,0,0,0,0,0
43,204,48,0,2,200401,0,0,0,0,0,0,0
44,205,49,0,2,200501,0,0,0,0,0,0,0
45,207,50,0,2,200601,0,0,0,0,0,0,0
46,208,51,0,2,200701,0,0,0,0,0,0,0
47,209,52,0,2,200801,0,0,0,0,0,0,0
48,210,53,0,2,200901,0,0,0,0,0,0,0
49,211,54,0,2,201001,0,0,0,0,0,0,0
50,212,56,0,2,201101,0,0,0,0,0,0,0
51,213,57,0,2,201201,0,0,0,0,0,0,0
52,214,58,0,2,201301,0,0,0,0,0,0,0
53,215,59,0,2,201401,0,0,0,0,0,0,0
54,216,60,0,2,201501,0,0,0,0,0,0,0
55,217,61,0,2,201601,0,0,0,0,0,0,0
56,218,62,0,2,201701,0,0,0,0,0,0,0
57,219,63,0,2,201801,0,0,0,0,0,0,0
58,220,64,0,2,201901,0,0,0,0,0,0,0
59,221,65,0,2,202001,0,0,0,0,0,0,0
60,222,66,0,2,202101,0,0,0,0,0,0,0
61,223,67,0,2,202201,0,0,0,0,0,0,0
62,224,68,0,2,202301,0,0,0,0,0,0,0
63,225,69,0,2,202401,0,0,0,0,0,0,0
64,226,70,0,2,202501,0,0,0,0,0,0,0
65,227,71,0,2,202601,0,0,0,0,0,0,0
66,228,72,0,2,202701,0,0,0,0,0,0,0
67,229,73,0,2,202801,0,0,0,0,0,0,0
68,230,74,0,2,202901,0,0,0,0,0,0,0
69,232,75,0,2,203001,0,0,0,0,0,0,0
70,233,76,0,2,203101,0,0,0,0,0,0,0
71,234,77,0,2,203201,0,0,0,0,0,0,0
72,235,78,0,2,203301,0,0,0,0,0,0,0
73,236,79,0,2,203401,0,0,0,0,0,0,0
74,301,80,0,1,300101,0,0,0,0,0,0,0
75,302,81,0,1,300201,0,0,0,0,0,0,0
76,303,82,0,1,300301,0,0,0,0,0,0,0
77,304,83,0,1,300401,0,0,0,0,0,0,0
78,305,84,0,1,300501,0,0,0,0,0,0,0
79,306,85,0,1,300601,0,0,0,0,0,0,0
80,307,86,0,1,300701,0,0,0,0,0,0,0
81,308,87,0,1,300801,0,0,0,0,0,0,0
82,309,88,0,1,300901,0,0,0,0,0,0,0
83,310,89,0,1,301001,0,0,0,0,0,0,0
84,311,90,0,1,301101,0,0,0,0,0,0,0
85,312,91,0,1,301201,0,0,0,0,0,0,0
86,313,92,0,1,301301,0,0,0,0,0,0,0
87,314,93,0,1,301401,0,0,0,0,0,0,0
88,315,94,0,1,301501,0,0,0,0,0,0,0
89,316,95,0,1,301601,0,0,0,0,0,0,0
90,317,96,0,1,301701,0,0,0,0,0,0,0
91,206,97,0,2,301801,0,0,0,0,0,0,0
92,318,98,0,1,301901,0,0,0,0,0,0,0
93,319,99,0,1,302001,0,0,0,0,0,0,0
94,320,100,0,1,302101,0,0,0,0,0,0,0
95,321,101,0,1,302201,0,0,0,0,0,0,0
96,322,102,0,1,302301,0,0,0,0,0,0,0
97,323,103,0,1,302401,0,0,0,0,0,0,0
98,324,104,0,1,302501,0,0,0,0,0,0,0
99,325,105,0,1,302601,0,0,0,0,0,0,0
100,326,106,0,1,302701,0,0,0,0,0,0,0
101,327,107,0,1,302801,0,0,0,0,0,0,0
102,328,108,0,1,302901,0,0,0,0,0,0,0
103,330,110,0,1,303001,0,0,0,0,0,0,0
104,331,111,0,1,303101,0,0,0,0,0,0,0
105,332,112,0,1,303201,0,0,0,0,0,0,0
106,333,113,0,1,303301,0,0,0,0,0,0,0
107,334,114,0,1,303401,0,0,0,0,0,0,0
108,335,115,0,1,303501,0,0,0,0,0,0,0
109,336,116,0,1,303601,0,0,0,0,0,0,0
110,337,117,0,1,303701,0,0,0,0,0,0,0
111,338,118,0,1,303801,0,0,0,0,0,0,0
112,339,119,0,1,303901,0,0,0,0,0,0,0
113,340,120,0,1,304001,0,0,0,0,0,0,0
114,341,121,0,1,304101,0,0,0,0,0,0,0
115,342,122,0,1,304201,0,0,0,0,0,0,0
116,343,123,0,1,304301,0,0,0,0,0,0,0
117,344,124,0,1,304401,0,0,0,0,0,0,0
118,345,125,0,1,304501,0,0,0,0,0,0,0
119,346,126,0,1,304601,0,0,0,0,0,0,0
120,347,127,0,1,304701,0,0,0,0,0,0,0
121,348,128,0,1,304801,0,0,0,0,0,0,0
122,349,129,0,1,304901,0,0,0,0,0,0,0
123,350,130,0,1,305001,0,0,0,0,0,0,0
124,351,131,0,1,305101,0,0,0,0,0,0,0
125,352,132,0,1,305201,0,0,0,0,0,0,0
126,353,133,0,1,305301,0,0,0,0,0,0,0
127,354,134,0,1,305401,0,0,0,0,0,0,0
128,355,135,0,1,305501,0,0,0,0,0,0,0
129,356,136,0,1,305601,0,0,0,0,0,0,0
130,357,137,0,1,305701,0,0,0,0,0,0,0
131,231,138,0,2,305801,0,0,0,0,0,0,0
132,358,139,0,1,305901,0,0,0,0,0,0,0
133,359,140,0,1,306001,0,0,0,0,0,0,0
134,360,141,0,1,306101,0,0,0,0,0,0,0
135,361,142,0,1,306201,0,0,0,0,0,0,0
136,362,143,0,1,306301,0,0,0,0,0,0,0
137,363,144,0,1,306401,0,0,0,0,0,0,0
138,364,145,0,1,306501,0,0,0,0,0,0,0
139,365,146,0,1,306601,0,0,0,0,0,0,0
140,366,147,0,1,306701,0,0,0,0,0,0,0
141,367,148,0,1,306801,0,0,0,0,0,0,0
142,368,149,0,1,306901,0,0,0,0,0,0,0
143,369,150,0,1,307001,0,0,0,0,0,0,0
144,2,1,0,0,100501,101001,102601,0,0,0,0,0
145,6,5,0,0,100301,100601,102501,0,0,0,0,0
146,9,8,0,0,102501,102301,0,0,0,0,0,0
147,105,24,0,3,102501,0,0,0,0,0,0,0
148,107,28,0,3,102601,0,0,0,0,0,0,0
149,211,54,0,2,203501,0,0,0,0,0,0,0
150,329,109,0,1,405001,0,0,0,0,0,0,0
151,6,5,0,0,100301,102701,101201,0,0,0,0,0
152,7,7,1,0,102701,101601,0,0,0,0,0,0
153,104,18,0,3,102701,0,0,0,0,0,0,0
154,2,1,0,0,102801,101001,101501,0,0,0,0,0
155,109,17,0,3,102801,0,0,0,0,0,0,0
156,130,41,0,3,111101,0,0,0,0,0,0,0
157,128,42,0,3,111201,0,0,0,0,0,0,0
158,122,43,0,3,111301,0,0,0,0,0,0,0
159,130,41,0,3,111401,0,0,0,0,0,0,0
160,128,42,0,3,111501,0,0,0,0,0,0,0
161,122,43,0,3,111601,0,0,0,0,0,0,0
162,130,41,0,3,111701,0,0,0,0,0,0,0
163,128,42,0,3,111801,0,0,0,0,0,0,0
164,122,43,0,3,111901,0,0,0,0,0,0,0
165,131,151,0,3,110701,0,0,0,0,0,0,0
166,132,152,0,3,110801,0,0,0,0,0,0,0
167,133,153,0,3,110901,0,0,0,0,0,0,0
