id,chara_id,target_scene,target_cut,target_type,value
1,1001,0,0,0,1
2,1001,1,0,0,1
3,1001,1,1,0,1
4,1001,1,2,0,1
5,1001,1,3,0,2
6,1001,1,4,0,1
7,1001,1,5,0,1
8,1001,4,0,0,1
9,1001,7,0,0,2
10,1001,8,0,0,1
11,1001,3,1,0,5
12,1001,6,0,1,1
13,1001,2,103010,0,2
14,1001,2,103020,0,3
15,1001,2,103030,0,4
16,1001,2,103050,0,3
17,1001,2,103040,0,1
18,1001,2,101045,1,1
19,1001,2,102040,1,1
20,1001,2,101014,0,2
21,1001,2,101042,0,2
22,1001,2,101012,0,1
23,1001,2,101031,0,1
24,1001,2,101031,1,1
25,1001,2,101032,0,1
26,1001,2,101032,1,1
27,1001,2,101033,0,1
28,1001,2,101033,1,1
29,1001,2,101034,0,1
30,1001,2,101034,1,1
31,1001,2,102030,0,1
32,1001,2,102030,1,1
33,1001,5,0,0,3
34,1001,5,1,6,1
35,1001,5,1,7,1
36,1001,5,2,1,5
37,1001,5,0,1,1
38,1001,5,0,2,1
39,1001,5,0,3,1
40,1001,5,0,4,1
41,1001,0,2,0,1
42,1002,0,0,0,1
43,1002,1,0,0,3
44,1002,1,1,0,2
45,1002,1,2,0,3
46,1002,1,3,0,4
47,1002,1,4,0,3
48,1002,1,5,0,3
49,1002,4,0,0,2
50,1002,7,0,0,1
51,1002,8,0,0,1
52,1002,3,1,0,2
53,1002,6,0,1,2
54,1002,2,103010,0,6
55,1002,2,103020,0,6
56,1002,2,103030,0,3
57,1002,2,103050,0,2
58,1002,2,103040,0,2
59,1002,2,101045,1,6
60,1002,2,102040,1,6
61,1002,2,101014,0,3
62,1002,2,101042,0,3
63,1002,2,101012,0,2
64,1002,2,101031,0,1
65,1002,2,101031,1,1
66,1002,2,101032,0,1
67,1002,2,101032,1,1
68,1002,2,101033,0,1
69,1002,2,101033,1,1
70,1002,2,101034,0,1
71,1002,2,101034,1,1
72,1002,2,102030,0,1
73,1002,2,102030,1,1
74,1002,5,0,0,6
75,1002,5,1,6,2
76,1002,5,1,7,2
77,1002,5,2,1,6
78,1002,5,0,1,2
79,1002,5,0,2,2
80,1002,5,0,3,1
81,1002,5,0,4,3
82,1002,0,2,0,2
83,1003,0,0,0,1
84,1003,1,0,0,2
85,1003,1,1,0,2
86,1003,1,2,0,2
87,1003,1,3,0,4
88,1003,1,4,0,2
89,1003,1,5,0,1
90,1003,4,0,0,1
91,1003,7,0,0,2
92,1003,8,0,0,1
93,1003,3,1,0,7
94,1003,6,0,1,4
95,1003,2,103010,0,2
96,1003,2,103020,0,5
97,1003,2,103030,0,1
98,1003,2,103050,0,1
99,1003,2,103040,0,3
100,1003,2,101045,1,4
101,1003,2,102040,1,4
102,1003,2,101014,0,1
103,1003,2,101042,0,1
104,1003,2,101012,0,1
105,1003,2,101031,0,1
106,1003,2,101031,1,1
107,1003,2,101032,0,1
108,1003,2,101032,1,1
109,1003,2,101033,0,1
110,1003,2,101033,1,1
111,1003,2,101034,0,1
112,1003,2,101034,1,1
113,1003,2,102030,0,1
114,1003,2,102030,1,1
115,1003,5,0,0,5
116,1003,5,1,6,3
117,1003,5,1,7,3
118,1003,5,2,1,5
119,1003,5,0,1,3
120,1003,5,0,2,3
121,1003,5,0,3,1
122,1003,5,0,4,2
123,1003,0,2,0,1
124,1004,0,0,0,2
125,1004,1,0,0,5
126,1004,1,1,0,1
127,1004,1,2,0,5
128,1004,1,3,0,1
129,1004,1,4,0,1
130,1004,1,5,0,3
131,1004,4,0,0,2
132,1004,7,0,0,2
133,1004,8,0,0,1
134,1004,3,1,0,7
135,1004,6,0,1,5
136,1004,2,103010,0,1
137,1004,2,103020,0,5
138,1004,2,103030,0,3
139,1004,2,103050,0,2
140,1004,2,103040,0,4
141,1004,2,101045,1,3
142,1004,2,102040,1,3
143,1004,2,101014,0,1
144,1004,2,101042,0,2
145,1004,2,101012,0,2
146,1004,2,101031,0,1
147,1004,2,101031,1,1
148,1004,2,101032,0,1
149,1004,2,101032,1,1
150,1004,2,101033,0,1
151,1004,2,101033,1,1
152,1004,2,101034,0,1
153,1004,2,101034,1,1
154,1004,2,102030,0,1
155,1004,2,102030,1,1
156,1004,5,0,0,5
157,1004,5,1,6,1
158,1004,5,1,7,4
159,1004,5,2,1,7
160,1004,5,0,1,2
161,1004,5,0,2,2
162,1004,5,0,3,1
163,1004,5,0,4,5
164,1004,0,2,0,2
165,1005,0,0,0,2
166,1005,1,0,0,5
167,1005,1,1,0,2
168,1005,1,2,0,5
169,1005,1,3,0,2
170,1005,1,4,0,2
171,1005,1,5,0,3
172,1005,4,0,0,1
173,1005,7,0,0,1
174,1005,8,0,0,1
175,1005,3,1,0,6
176,1005,6,0,1,4
177,1005,2,103010,0,5
178,1005,2,103020,0,7
179,1005,2,103030,0,2
180,1005,2,103050,0,2
181,1005,2,103040,0,4
182,1005,2,101045,1,5
183,1005,2,102040,1,5
184,1005,2,101014,0,3
185,1005,2,101042,0,3
186,1005,2,101012,0,2
187,1005,2,101031,0,1
188,1005,2,101031,1,1
189,1005,2,101032,0,1
190,1005,2,101032,1,1
191,1005,2,101033,0,1
192,1005,2,101033,1,1
193,1005,2,101034,0,1
194,1005,2,101034,1,1
195,1005,2,102030,0,1
196,1005,2,102030,1,1
197,1005,5,0,0,7
198,1005,5,1,6,2
199,1005,5,1,7,5
200,1005,5,2,1,6
201,1005,5,0,1,3
202,1005,5,0,2,3
203,1005,5,0,3,1
204,1005,5,0,4,5
205,1005,0,2,0,2
206,1006,0,0,0,1
207,1006,1,0,0,5
208,1006,1,1,0,3
209,1006,1,2,0,5
210,1006,1,3,0,2
211,1006,1,4,0,3
212,1006,1,5,0,5
213,1006,4,0,0,2
214,1006,7,0,0,1
215,1006,8,0,0,1
216,1006,3,1,0,2
217,1006,6,0,1,5
218,1006,2,103010,0,5
219,1006,2,103020,0,6
220,1006,2,103030,0,5
221,1006,2,103050,0,4
222,1006,2,103040,0,6
223,1006,2,101045,1,1
224,1006,2,102040,1,1
225,1006,2,101014,0,3
226,1006,2,101042,0,3
227,1006,2,101012,0,2
228,1006,2,101031,0,2
229,1006,2,101031,1,2
230,1006,2,101032,0,2
231,1006,2,101032,1,2
232,1006,2,101033,0,2
233,1006,2,101033,1,2
234,1006,2,101034,0,2
235,1006,2,101034,1,2
236,1006,2,102030,0,2
237,1006,2,102030,1,2
238,1006,5,0,0,6
239,1006,5,1,6,3
240,1006,5,1,7,6
241,1006,5,2,1,4
242,1006,5,0,1,3
243,1006,5,0,2,3
244,1006,5,0,3,1
245,1006,5,0,4,5
246,1006,0,2,0,1
247,1007,0,0,0,5
248,1007,1,0,0,2
249,1007,1,1,0,2
250,1007,1,2,0,2
251,1007,1,3,0,1
252,1007,1,4,0,2
253,1007,1,5,0,4
254,1007,4,0,0,1
255,1007,7,0,0,2
256,1007,8,0,0,1
257,1007,3,1,0,3
258,1007,6,0,1,4
259,1007,2,103010,0,4
260,1007,2,103020,0,2
261,1007,2,103030,0,4
262,1007,2,103050,0,5
263,1007,2,103040,0,3
264,1007,2,101045,1,2
265,1007,2,102040,1,2
266,1007,2,101014,0,1
267,1007,2,101042,0,1
268,1007,2,101012,0,1
269,1007,2,101031,0,2
270,1007,2,101031,1,2
271,1007,2,101032,0,2
272,1007,2,101032,1,2
273,1007,2,101033,0,2
274,1007,2,101033,1,2
275,1007,2,101034,0,2
276,1007,2,101034,1,2
277,1007,2,102030,0,2
278,1007,2,102030,1,2
279,1007,5,0,0,2
280,1007,5,1,6,1
281,1007,5,1,7,1
282,1007,5,2,1,3
283,1007,5,0,1,3
284,1007,5,0,2,3
285,1007,5,0,3,1
286,1007,5,0,4,2
287,1007,0,2,0,5
288,1008,0,0,0,5
289,1008,1,0,0,2
290,1008,1,1,0,2
291,1008,1,2,0,2
