story_id,event_category_id,max_item_id,item_dir,item_name
400001017,180,1,Rival,utx_ico_rival_item_{0:D2}
400001024,178,2,Plow,utx_ico_plow_item_{0:D2}
400001030,179,2,Ending,utx_ico_ending_item_{0:D2}
400002031,181,1,Aoharu,utx_ico_aoharu_item_09
400002032,182,1,Aoharu,utx_ico_aoharu_item_07
400002033,183,1,Aoharu,utx_ico_aoharu_item_08
400002034,184,1,Aoharu,utx_ico_aoharu_item_10
400002035,185,1,Aoharu,utx_ico_aoharu_item_02
400002112,186,1,Aoharu,utx_ico_aoharu_item_06
400002113,187,1,Aoharu,utx_ico_aoharu_item_01
400002121,188,1,Aoharu,utx_ico_aoharu_item_11
400005105,189,3,Venus,utx_ico_venus_item_{0:D2}
501001302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501002302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501003302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501004302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501005302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501006302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501007302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501008302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501009302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501010302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501011302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501012302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501013302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501014302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501015302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501016302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501017302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501018302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501019302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501020302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501021302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501022302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501023302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501024302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501025302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501026302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501027302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501028302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501029302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501030302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501031302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501032302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501033302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501034302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501035302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501036302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501037302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501038302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501039302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501040302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501041302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501042302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501043302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501044302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501045302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501046302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501047302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501048302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501049302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501050302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501051302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501052302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501053302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501056302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501057302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501058302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501059302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501060302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501061302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501062302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501064302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501065302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501066302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501067302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501068302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501069302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501071302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501072302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501074302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501078302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501087302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501098302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501099302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
501100302,177,5,Lottery,utx_ico_lottery_item_{0:D2}
