id,target_type,card_id,count,item_category_1,item_id_1,item_num_1
1,8,100101,1,20,10001,1
2,8,100102,1,20,10002,1
3,8,100103,1,20,10069,1
4,8,100201,1,20,10003,1
5,8,100301,1,20,10004,1
6,8,100302,1,20,10005,1
7,8,100401,1,20,10006,1
8,8,100402,1,20,10007,1
9,8,100501,1,20,10008,1
10,8,100502,1,20,10070,1
11,8,100601,1,20,10009,1
12,8,100602,1,20,10010,1
13,8,100701,1,20,10011,1
14,8,100702,1,20,10071,1
15,8,100801,1,20,10012,1
16,8,100802,1,20,10072,1
17,8,100901,1,20,10013,1
18,8,100902,1,20,10073,1
19,8,101001,1,20,10014,1
20,8,101002,1,20,10074,1
21,8,101101,1,20,10015,1
22,8,101102,1,20,10016,1
23,8,101201,1,20,10017,1
24,8,101301,1,20,10018,1
25,8,101302,1,20,10019,1
26,8,101303,1,20,10075,1
27,8,101401,1,20,10020,1
28,8,101402,1,20,10021,1
29,8,101501,1,20,10022,1
30,8,101502,1,20,10023,1
31,8,101601,1,20,10024,1
32,8,101602,1,20,10076,1
33,8,101701,1,20,10025,1
34,8,101702,1,20,10026,1
35,8,101801,1,20,10027,1
36,8,101802,1,20,10028,1
37,8,101901,1,20,10029,1
38,8,101902,1,20,10077,1
39,8,102001,1,20,10030,1
40,8,102002,1,20,10078,1
41,8,102101,1,20,10031,1
42,8,102102,1,20,10079,1
43,8,102201,1,20,10032,1
44,8,102202,1,20,10080,1
45,8,102301,1,20,10033,1
46,8,102302,1,20,10034,1
47,8,102401,1,20,10035,1
48,8,102402,1,20,10036,1
49,8,102501,1,20,10037,1
50,8,102601,1,20,10038,1
51,8,102602,1,20,10039,1
52,8,102701,1,20,10040,1
53,8,102702,1,20,10081,1
54,8,102801,1,20,10041,1
55,8,102901,1,20,10082,1
56,8,103001,1,20,10042,1
57,8,103002,1,20,10043,1
58,8,103101,1,20,10083,1
59,8,103102,1,20,10084,1
60,8,103201,1,20,10044,1
61,8,103301,1,20,10045,1
62,8,103401,1,20,10085,1
63,8,103402,1,20,10086,1
64,8,103501,1,20,10046,1
65,8,103502,1,20,10087,1
66,8,103601,1,20,10088,1
67,8,103701,1,20,10047,1
68,8,103702,1,20,10048,1
69,8,103801,1,20,10049,1
70,8,103802,1,20,10089,1
71,8,103901,1,20,10050,1
72,8,104001,1,20,10051,1
73,8,104002,1,20,10052,1
74,8,104101,1,20,10053,1
75,8,104201,1,20,10090,1
76,8,104301,1,20,10091,1
77,8,104401,1,20,10092,1
78,8,104501,1,20,10054,1
79,8,104502,1,20,10055,1
80,8,104601,1,20,10056,1
81,8,104602,1,20,10093,1
82,8,104701,1,20,10094,1
83,8,104801,1,20,10057,1
84,8,104901,1,20,10095,1
85,8,105001,1,20,10058,1
86,8,105002,1,20,10096,1
87,8,105101,1,20,10097,1
88,8,105201,1,20,10059,1
89,8,105202,1,20,10060,1
90,8,105301,1,20,10098,1
91,8,105601,1,20,10061,1
92,8,105602,1,20,10062,1
93,8,105801,1,20,10063,1
94,8,105802,1,20,10099,1
95,8,105901,1,20,10064,1
96,8,105902,1,20,10100,1
97,8,106001,1,20,10065,1
98,8,106002,1,20,10101,1
99,8,106101,1,20,10066,1
100,8,106102,1,20,10102,1
101,8,106201,1,20,10103,1
102,8,106401,1,20,10104,1
103,8,106501,1,20,10105,1
104,8,106701,1,20,10106,1
105,8,106702,1,20,10107,1
106,8,106801,1,20,10108,1
107,8,106802,1,20,10109,1
108,8,106901,1,20,10067,1
109,8,107101,1,20,10068,1
110,8,107201,1,20,10110,1
111,8,107401,1,20,10111,1
112,8,107801,1,20,10112,1
113,8,108701,1,20,10113,1
114,8,109801,1,20,10114,1
115,8,109901,1,20,10115,1
116,8,110001,1,20,10116,1
