id,route_race_group_id,chara_id,route_race_id
1,40000,1001,1
2,40000,1006,11
3,40000,1009,22
4,40000,1010,34
5,40000,1013,45
6,40000,1052,55
7,40000,1030,67
8,40000,1003,78
9,40000,1056,89
10,40000,1011,100
11,40000,1002,111
12,40000,1045,122
13,40000,1027,133
14,40000,1024,145
15,40000,1060,157
16,40000,1018,169
17,40000,1032,181
18,40000,1017,193
19,40000,1061,205
20,40000,1004,217
21,40000,1041,229
22,40000,1014,243
23,40000,1008,254
24,40000,1007,267
25,40000,1035,279
26,40000,1015,297
27,40000,1026,309
28,40000,1023,321
29,40000,1038,333
30,40000,1050,345
31,40000,1046,357
32,40000,1016,371
33,40000,1020,389
34,40000,1012,402
35,40000,1005,415
36,40000,1040,430
37,40000,1058,443
38,40000,1037,455
39,40000,1028,468
40,40000,1019,481
41,40000,1039,491
42,40000,1025,503
43,40000,1048,516
44,40000,1059,528
45,40000,1022,541
46,40000,1021,557
47,40000,1069,568
48,40000,1071,580
49,40000,1033,594
50,40000,1062,619
51,40000,1068,605
52,40000,1067,632
53,40000,1074,645
54,40000,1051,657
55,40000,1072,669
56,40000,1031,681
57,40000,1064,694
58,40000,1034,705
59,40000,1044,717
60,40000,1036,730
61,40000,1053,743
62,40000,1098,755
63,40000,1029,768
64,40000,1042,781
65,40000,1087,795
66,40000,1078,806
67,40000,1049,817
68,40000,1100,828
69,40000,1047,842
70,40000,1099,856
71,40000,1065,869
72,40000,1043,881
74,40000,1066,892
75,40000,1057,903
