id,campaign_id,card_id,count,item_category_1,item_id_1,item_num_1,item_category_2,item_id_2,item_num_2
1,214,100101,1,20,10001,1,0,0,0
2,214,100102,1,20,10002,1,0,0,0
3,214,100201,1,20,10003,1,0,0,0
4,214,100301,1,20,10004,1,0,0,0
5,214,100302,1,20,10005,1,0,0,0
6,214,100401,1,20,10006,1,0,0,0
7,214,100402,1,20,10007,1,0,0,0
8,214,100501,1,20,10008,1,0,0,0
9,214,100601,1,20,10009,1,0,0,0
10,214,100602,1,20,10010,1,0,0,0
11,214,100701,1,20,10011,1,0,0,0
12,214,100801,1,20,10012,1,0,0,0
13,214,100901,1,20,10013,1,0,0,0
14,214,101001,1,20,10014,1,0,0,0
15,214,101101,1,20,10015,1,0,0,0
16,214,101102,1,20,10016,1,0,0,0
17,214,101201,1,20,10017,1,0,0,0
18,214,101301,1,20,10018,1,0,0,0
19,214,101302,1,20,10019,1,0,0,0
20,214,101401,1,20,10020,1,0,0,0
21,214,101402,1,20,10021,1,0,0,0
22,214,101501,1,20,10022,1,0,0,0
23,214,101502,1,20,10023,1,0,0,0
24,214,101601,1,20,10024,1,0,0,0
25,214,101701,1,20,10025,1,0,0,0
26,214,101702,1,20,10026,1,0,0,0
27,214,101801,1,20,10027,1,0,0,0
28,214,101802,1,20,10028,1,0,0,0
29,214,101901,1,20,10029,1,0,0,0
30,214,102001,1,20,10030,1,0,0,0
31,214,102101,1,20,10031,1,0,0,0
32,214,102201,1,20,10032,1,0,0,0
33,214,102301,1,20,10033,1,0,0,0
34,214,102302,1,20,10034,1,0,0,0
35,214,102401,1,20,10035,1,0,0,0
36,214,102402,1,20,10036,1,0,0,0
37,214,102501,1,20,10037,1,0,0,0
38,214,102601,1,20,10038,1,0,0,0
39,214,102602,1,20,10039,1,0,0,0
40,214,102701,1,20,10040,1,0,0,0
41,214,102801,1,20,10041,1,0,0,0
42,214,103001,1,20,10042,1,0,0,0
43,214,103002,1,20,10043,1,0,0,0
44,214,103201,1,20,10044,1,0,0,0
45,214,103301,1,20,10045,1,0,0,0
46,214,103501,1,20,10046,1,0,0,0
47,214,103701,1,20,10047,1,0,0,0
48,214,103702,1,20,10048,1,0,0,0
49,214,103801,1,20,10049,1,0,0,0
50,214,103901,1,20,10050,1,0,0,0
51,214,104001,1,20,10051,1,0,0,0
52,214,104002,1,20,10052,1,0,0,0
53,214,104101,1,20,10053,1,0,0,0
54,214,104501,1,20,10054,1,0,0,0
55,214,104502,1,20,10055,1,0,0,0
56,214,104601,1,20,10056,1,0,0,0
57,214,104801,1,20,10057,1,0,0,0
58,214,105001,1,20,10058,1,0,0,0
59,214,105201,1,20,10059,1,0,0,0
60,214,105202,1,20,10060,1,0,0,0
61,214,105601,1,20,10061,1,0,0,0
62,214,105602,1,20,10062,1,0,0,0
63,214,105801,1,20,10063,1,0,0,0
64,214,105901,1,20,10064,1,0,0,0
65,214,106001,1,20,10065,1,0,0,0
66,214,106101,1,20,10066,1,0,0,0
67,214,106901,1,20,10067,1,0,0,0
68,214,107101,1,20,10068,1,0,0,0
