id,race_id,npc_group_id,date,time,clock_time,race_number
100101,1001,302,219,2,0,11
100201,1002,101,324,2,0,11
100301,1003,103,331,2,0,11
100401,1004,299,407,2,0,11
100501,1005,199,414,2,0,11
100601,1006,104,428,2,0,11
100701,1007,102,505,2,0,11
100801,1008,202,512,2,0,11
100901,1009,299,519,2,0,11
101001,1010,199,526,2,0,11
101101,1011,102,602,2,0,11
101201,1012,103,623,2,0,11
101301,1013,101,929,2,0,11
101401,1014,299,1013,2,0,11
101501,1015,199,1020,2,0,11
101601,1016,103,1029,2,0,11
101701,1017,299,1110,2,0,11
101801,1018,102,1117,2,0,11
101901,1019,401,1124,2,0,11
102001,1020,302,1201,2,0,11
102101,1021,202,1208,2,0,11
102201,1022,102,1215,2,0,11
102301,1023,104,1222,2,0,11
102401,1024,103,1228,2,0,11
102501,1025,103,623,2,0,11
102601,1026,199,1020,2,0,11
102701,1027,104,428,2,0,11
102801,1028,199,414,2,0,11
110101,1101,303,626,4,0,11
110201,1102,303,710,4,0,11
110301,1103,302,1104,3,0,8
110401,1104,301,1104,3,0,9
110501,1105,303,1104,3,0,10
110601,1106,303,1229,3,0,10
110701,1107,303,202,3,0,11
110801,1108,302,1216,4,0,11
110901,1109,302,505,2,0,11
111001,1110,302,1010,4,0,11
111101,1111,302,1103,3,0,9
111201,1112,301,1103,3,0,10
111301,1113,303,1103,3,0,11
111401,1114,302,1103,3,0,8
111501,1115,301,1103,3,0,9
111601,1116,302,1103,3,0,10
111701,1117,302,1103,3,0,8
111801,1118,301,1103,3,0,9
111901,1119,303,1103,3,0,10
120101,1201,401,1003,3,1605,1
200101,2001,103,117,2,0,11
200201,2002,302,122,2,0,11
200301,2003,103,122,2,0,11
200401,2004,103,212,2,0,11
200501,2005,102,226,2,0,11
200601,2006,103,305,2,0,11
200701,2007,103,311,2,0,11
200801,2008,201,312,2,0,11
200901,2009,104,317,2,0,11
201001,2010,102,317,2,0,11
201101,2011,104,323,2,0,11
201201,2012,202,406,2,0,11
201301,2013,102,406,2,0,11
201401,2014,102,421,2,0,11
201501,2015,203,421,2,0,11
201601,2016,103,427,2,0,11
201701,2017,103,504,2,0,11
201801,2018,101,511,2,0,11
201901,2019,104,526,2,0,12
202001,2020,103,818,2,0,11
202101,2021,101,908,2,0,11
202201,2022,202,917,2,0,11
202301,2023,103,918,2,0,11
202401,2024,103,924,2,0,11
202501,2025,103,924,2,0,11
202601,2026,102,1008,2,0,11
202701,2027,103,1006,2,0,11
202801,2028,202,1014,2,0,11
202901,2029,101,1026,2,0,11
203001,2030,101,1104,2,0,11
203101,2031,104,1103,2,0,11
203201,2032,102,1109,2,0,11
203301,2033,104,1202,2,0,11
203401,2034,101,1221,2,0,11
203501,2035,102,317,2,0,11
203601,2036,302,1006,4,0,11
203701,2037,301,1005,4,0,11
203801,2038,303,302,3,0,11
203901,2039,303,615,4,0,11
204001,2040,303,323,4,0,11
204101,2041,302,928,4,0,11
300101,3001,102,105,2,0,11
300201,3002,103,105,2,0,11
300301,3003,102,108,2,0,11
300401,3004,202,108,2,0,11
300501,3005,203,114,2,0,11
300601,3006,103,115,2,0,11
300701,3007,101,129,2,0,11
300801,3008,301,129,2,0,11
300901,3009,102,205,2,0,11
301001,3010,102,205,2,0,11
301101,3011,202,211,2,0,11
