music_id,sort,music_type,title_color_top,title_color_bottom,condition_type,song_chara_type,live_member_number,default_main_dress,default_main_dress_color,default_mob_dress,default_mob_dress_color,backdancer_order,backdancer_dress,backdancer_dress_color,has_live,start_date,end_date
1001,9,1,#f387bf,#ff55ac,2,1,18,101,0,7,0,4,7,0,1,1561960800,4102412399
1003,946,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1667962800,4102412399
1004,300,5,#524ead,#2e64b7,2,2,18,102,0,102,0,4,102,0,1,1629774000,4102412399
1005,3,1,#f89892,#ffda7e,2,2,18,101,0,7,1,4,7,1,1,1561960800,4102412399
1006,1,1,#0269f6,#001b82,2,1,18,101,0,7,2,4,7,2,1,1561960800,4102412399
1007,2,1,#88df26,#d5e799,2,2,18,101,0,7,3,4,7,3,1,1561960800,4102412399
1008,7,1,#ff2500,#ff7a00,2,2,18,101,0,7,0,4,7,0,1,1561960800,4102412399
1009,6,1,#acddff,#0d2452,2,2,18,101,0,7,0,4,7,0,1,1561960800,4102412399
1010,8,1,#ff9551,#211cac,2,2,18,101,0,7,1,5,7,1,1,1561960800,4102412399
1012,401,1,#53c01a,#0e5b1e,2,2,18,101,0,7,3,4,7,3,1,1640919600,4102412399
1013,928,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1667962800,4102412399
1023,912,5,#18d7ff,#c7f7ff,2,2,18,101,0,7,0,4,5,0,0,1527832800,4102412399
1024,950,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1670814000,4102412399
1025,100,2,#88ffff,#004552,2,2,1,101,0,7,0,2,7,0,1,1561960800,4102412399
1026,101,2,#88a5ff,#24154d,2,2,1,101,0,7,0,2,7,0,1,1561960800,4102412399
1027,5,1,#4ffbff,#1500cb,2,2,18,101,0,7,0,4,7,0,1,1561960800,4102412399
1028,4,1,#ffc139,#ff4b00,2,2,18,101,0,7,0,4,7,0,1,1561960800,4102412399
1029,13,1,#171d7d,#734c68,3,2,18,101,0,7,1,4,7,1,1,1661310000,4102412399
1030,102,2,#42c3ff,#1773ff,2,2,3,101,0,7,2,4,7,2,1,1619406000,4102412399
1031,103,2,#7434a4,#0e0318,2,2,1,101,0,7,0,2,7,0,1,1626750000,4102412399
1032,200,3,#4066ff,#002eff,2,2,15,101,0,7,1,4,7,1,1,1617073200,4102412399
1033,202,5,#ffedac,#ffd850,2,2,3,101,0,7,1,4,7,1,1,1671872400,4102412399
1034,400,1,#a8ff99,#4ac00c,2,2,5,101,0,7,3,6,7,3,1,1638932400,4102412399
1035,10,1,#77daff,#205cff,2,2,10,101,0,7,2,11,7,2,1,1630292400,4102412399
1036,12,1,#171d7d,#734c68,2,2,6,101,0,7,1,7,7,1,1,1661310000,4102412399
1037,104,2,#29b583,#d2c718,2,2,2,101,0,7,1,3,7,1,1,1640142000,4102412399
1040,914,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1646622000,4102412399
1041,947,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1667962800,4102412399
1042,911,5,#18d6ff,#c7f6ff,2,2,18,101,0,7,0,4,5,0,0,1527832800,4102412399
1043,913,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1527832800,4102412399
1044,916,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1649127600,4102412399
1046,949,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1667962800,4102412399
1047,948,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1667962800,4102412399
1048,11,1,#21d8b7,#c74316,2,2,18,101,0,7,0,4,7,0,1,1645671600,4102412399
1049,905,5,#18d5ff,#c7f5ff,2,2,18,101,0,7,0,4,5,0,0,1527832800,4102412399
1050,301,5,#ff6982,#aa0030,2,2,18,104,0,104,0,7,104,0,1,1645671600,4102412399
1051,105,2,#e45dbf,#eedaea,2,2,7,101,0,7,1,8,7,1,1,1658286000,4102412399
1052,915,99,#cccccc,#cccccc,2,2,2,101,0,7,0,3,7,1,0,1648522800,4102412399
1053,302,5,#fe36ff,#77fff9,2,2,18,25,0,25,0,4,25,1,1,1661310000,4102412399
1054,201,5,#ffcf52,#481690,2,1,9,101,0,7,0,4,7,0,1,1666148400,4102412399
1055,919,5,#18d5ff,#c7f5ff,2,2,18,101,0,7,0,4,5,0,0,1651114800,4102412399
1056,918,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1648785600,4102412399
1057,925,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1661310000,4102412399
1058,14,1,#9a774d,#3a1313,2,2,18,101,0,7,1,4,7,1,1,1677207600,4102412399
1059,402,5,#0000ff,#4eedff,2,2,18,101,0,7,2,5,7,2,1,1675047600,4102412399
1060,303,5,#ffc925,#42aee5,2,2,18,101,0,7,3,4,7,3,1,1677207600,4102412399
1061,926,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1661310000,4102412399
1062,929,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1667962800,4102412399
1063,930,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1667962800,4102412399
1064,931,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1667962800,4102412399
1065,932,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1667962800,4102412399
1066,933,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1667962800,4102412399
1067,934,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1667962800,4102412399
1068,927,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1667962800,4102412399
1069,935,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1667962800,4102412399
1070,938,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1667962800,4102412399
1071,936,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1667962800,4102412399
1072,937,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1667962800,4102412399
1073,941,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1667962800,4102412399
