id,group_id,legend_bg_id,legend_bg_sub_id,image_id,difficulty,race_instance_id,season,weather,ground,legend_race_boss_npc_id,cost_num,drop_reward_odds_id,victory_reward_odds_id,first_clear_item_category_1,first_clear_item_id_1,first_clear_item_num_1,first_clear_item_category_2,first_clear_item_id_2,first_clear_item_num_2,first_clear_item_category_3,first_clear_item_id_3,first_clear_item_num_3,pick_up_item_category_1,pick_up_item_id_1,pick_up_item_num_1,pick_up_item_category_2,pick_up_item_id_2,pick_up_item_num_2,pick_up_item_category_3,pick_up_item_id_3,pick_up_item_num_3,start_date
10001,101406,24,111,101401,3,592001,3,1,1,173,1,10101,10102,102,101401,10,90,43,150,91,59,10000,102,101401,1,0,0,0,0,0,0,1647572400
10002,100106,24,111,100101,3,592002,3,1,1,175,1,10201,10202,102,100101,10,90,43,150,91,59,10000,102,100101,1,0,0,0,0,0,0,1647572400
10003,101706,24,111,101701,3,592003,3,1,1,177,1,10301,10302,102,101701,10,90,43,150,91,59,10000,102,101701,1,0,0,0,0,0,0,1647572400
10004,106106,77,111,106101,3,594501,3,1,1,109,1,10401,10402,102,106101,10,90,43,150,91,59,10000,102,106101,1,0,0,0,0,0,0,1647572400
10005,101006,77,111,101001,3,594503,3,1,1,111,1,10501,10502,102,101001,10,90,43,150,91,59,10000,102,101001,1,0,0,0,0,0,0,1647572400
10006,104106,77,111,104101,3,594502,3,1,1,113,1,10601,10602,102,104101,10,90,43,150,91,59,10000,102,104101,1,0,0,0,0,0,0,1647572400
10007,103801,77,111,103801,3,594504,3,1,1,115,1,10701,10702,102,103801,10,90,43,150,91,59,10000,102,103801,1,0,0,0,0,0,0,1660618800
10008,103506,24,111,103501,3,593501,1,1,1,117,1,10801,10802,102,103501,10,90,43,150,91,59,10000,102,103501,1,0,0,0,0,0,0,1647572400
10009,100806,24,111,100801,3,593502,1,1,1,119,1,10901,10902,102,100801,10,90,43,150,91,59,10000,102,100801,1,0,0,0,0,0,0,1647572400
10010,100306,24,111,100301,3,593503,1,1,1,179,1,11001,11002,102,100301,10,90,43,150,91,59,10000,102,100301,1,0,0,0,0,0,0,1647572400
10011,102406,79,111,102401,3,593004,1,1,1,129,1,11101,11102,102,102401,10,90,43,150,91,59,10000,102,102401,1,0,0,0,0,0,0,1647572400
10012,101306,79,111,101301,3,593002,1,1,1,125,1,11201,11202,102,101301,10,90,43,150,91,59,10000,102,101301,1,0,0,0,0,0,0,1647572400
10013,101506,79,111,101501,3,593003,1,1,1,127,1,11301,11302,102,101501,10,90,43,150,91,59,10000,102,101501,1,0,0,0,0,0,0,1647572400
10014,104506,79,111,104501,3,593001,1,1,1,181,1,11401,11402,102,104501,10,90,43,150,91,59,10000,102,104501,1,0,0,0,0,0,0,1647572400
10015,102706,79,111,102701,3,594001,1,1,1,131,1,11501,11502,102,102701,10,90,43,150,91,59,10000,102,102701,1,0,0,0,0,0,0,1647572400
10016,100206,78,111,100201,3,594002,1,1,1,133,1,11601,11602,102,100201,10,90,43,150,91,59,10000,102,100201,1,0,0,0,0,0,0,1647572400
10017,100706,78,111,100701,3,594003,1,1,1,135,1,11701,11702,102,100701,10,90,43,150,91,59,10000,102,100701,1,0,0,0,0,0,0,1647572400
10018,100406,78,111,100401,3,596001,4,1,1,137,1,11801,11802,102,100401,10,90,43,150,91,59,10000,102,100401,1,0,0,0,0,0,0,1660618800
10019,100506,78,111,100501,3,596002,4,1,1,139,1,11901,11902,102,100501,10,90,43,150,91,59,10000,102,100501,1,0,0,0,0,0,0,1660618800
10020,102606,78,111,102601,3,596003,4,1,1,141,1,12001,12002,102,102601,10,90,43,150,91,59,10000,102,102601,1,0,0,0,0,0,0,1660618800
10021,105606,79,111,105601,3,595001,3,1,1,143,1,12101,12102,102,105601,10,90,43,150,91,59,10000,102,105601,1,0,0,0,0,0,0,1660618800
10022,102006,79,111,102001,3,595002,3,1,1,145,1,12201,12202,102,102001,10,90,43,150,91,59,10000,102,102001,1,0,0,0,0,0,0,1660618800
10023,102306,79,411,102301,3,595003,3,2,1,147,1,12301,12302,102,102301,10,90,43,150,91,59,10000,102,102301,1,0,0,0,0,0,0,1660618800
10024,101806,24,111,101801,3,596501,3,1,1,149,1,12401,12402,102,101801,10,90,43,150,91,59,10000,102,101801,1,0,0,0,0,0,0,1660618800
10025,103706,24,411,103701,3,596502,3,2,1,151,1,12501,12502,102,103701,10,90,43,150,91,59,10000,102,103701,1,0,0,0,0,0,0,1660618800
10026,101906,24,411,101901,3,596503,3,3,3,153,1,12601,12602,102,101901,10,90,43,150,91,59,10000,102,101901,1,0,0,0,0,0,0,1660618800
10027,106006,77,111,106001,3,595501,4,1,1,155,1,12701,12702,102,106001,10,90,43,150,91,59,10000,102,106001,1,0,0,0,0,0,0,1660618800
10028,101106,77,411,101101,3,595502,4,2,1,157,1,12801,12802,102,101101,10,90,43,150,91,59,10000,102,101101,1,0,0,0,0,0,0,1660618800
10029,100606,77,111,100601,3,595503,4,1,1,159,1,12901,12902,102,100601,10,90,43,150,91,59,10000,102,100601,1,0,0,0,0,0,0,1660618800
