id,scenario_id,disp_order,group_id,rank,chara_data_id,user_show,receive_condition_type,start_date,end_date
1,0,15,15,1,0,1,3,1483196400,2524575600
2,0,16,16,1,0,1,3,1483196400,2524575600
3,0,14,14,1,0,1,3,1483196400,2524575600
4,0,22,22,1,0,1,1,1483196400,2524575600
5,0,3052,3052,3,1052,1,3,1483196400,2524575600
6,0,41,41,1,0,1,1,1631847600,2524575600
7,0,42,42,1,0,1,1,1483196400,2524575600
8,0,31,31,1,0,1,3,1483196400,2524575600
9,0,23,23,1,0,1,3,1483196400,2524575600
10,0,2035,2035,2,0,1,3,1483196400,2524575600
12,0,4,4,1,0,1,3,1483196400,2524575600
13,0,9,9,1,0,1,3,1483196400,2524575600
14,0,7,7,1,0,1,3,1483196400,2524575600
15,0,8,8,1,0,1,3,1483196400,2524575600
16,0,10,10,1,0,1,3,1483196400,2524575600
17,0,17,17,1,0,1,3,1483196400,2524575600
18,0,29,29,1,0,1,3,1483196400,2524575600
19,0,6,6,1,0,1,3,1483196400,2524575600
20,0,40,40,1,0,1,1,1483196400,2524575600
21,0,33,33,1,0,1,3,1483196400,2524575600
22,0,13,13,1,0,1,3,1483196400,2524575600
23,0,3,3,1,0,1,3,1483196400,2524575600
24,0,34,34,1,0,1,3,1483196400,2524575600
25,0,35,35,1,0,1,3,1483196400,2524575600
26,0,2026,2026,2,0,1,3,1483196400,2524575600
27,0,2028,2028,2,0,1,3,1483196400,2524575600
28,0,2023,2023,2,0,1,3,1483196400,2524575600
29,0,2024,2024,2,0,1,3,1483196400,2524575600
30,0,2029,2029,2,0,1,3,1483196400,2524575600
31,0,2033,2033,2,0,1,3,1483196400,2524575600
32,0,2021,2021,2,0,1,3,1483196400,2524575600
33,0,18,18,1,0,1,3,1483196400,2524575600
34,0,38,38,1,0,1,3,1483196400,2524575600
35,0,32,32,1,0,1,3,1483196400,2524575600
36,0,20,20,1,0,1,3,1483196400,2524575600
37,0,2032,2032,2,0,1,3,1483196400,2524575600
38,0,2012,2012,2,0,1,3,1483196400,2524575600
39,0,2034,2034,2,0,1,3,1483196400,2524575600
40,0,43,43,1,0,1,3,1483196400,2524575600
41,0,2010,2010,2,0,1,3,1483196400,2524575600
42,0,37,37,1,0,1,1,1483196400,2524575600
43,0,3018,3018,3,1018,1,3,1483196400,2524575600
44,0,3040,3040,3,1040,1,1,1626750000,2524575600
45,0,3030,3030,3,1030,1,1,1483196400,2524575600
46,0,3037,3037,3,1037,1,1,1629428400,2524575600
47,0,3035,3035,3,1035,1,3,1483196400,2524575600
48,0,3032,3032,3,1032,1,3,1483196400,2524575600
49,0,5023,5023,3,0,1,3,1483196400,2524575600
50,0,2015,2015,2,0,1,3,1483196400,2524575600
51,0,2037,2037,2,0,1,3,1483196400,2524575600
52,0,2025,2025,2,0,1,3,1483196400,2524575600
54,0,5024,5024,3,0,1,2,1483196400,2524575600
55,0,5022,5022,3,0,1,3,1483196400,2524575600
56,0,2013,2013,2,0,1,3,1483196400,2524575600
57,0,5008,5008,3,0,1,3,1483196400,2524575600
58,0,5011,5011,3,0,1,3,1483196400,2524575600
59,0,2036,2036,2,0,1,3,1483196400,2524575600
60,0,5010,5010,3,0,1,3,1483196400,2524575600
61,0,5020,5020,3,0,1,2,1483196400,2524575600
62,0,36,36,1,0,1,3,1483196400,2524575600
63,0,5025,5025,3,0,1,3,1483196400,2524575600
64,0,5012,5012,3,0,1,3,1483196400,2524575600
65,0,5013,5013,3,0,1,3,1483196400,2524575600
66,0,3001,3001,3,1001,1,3,1483196400,2524575600
67,0,3002,3002,3,1002,1,3,1483196400,2524575600
68,0,3014,3014,3,1014,1,1,1483196400,2524575600
69,0,3004,3004,3,1004,1,3,1483196400,2524575600
70,0,3024,3024,3,1024,1,3,1483196400,2524575600
71,0,3041,3041,3,1041,1,3,1483196400,2524575600
72,0,3045,3045,3,1045,1,3,1483196400,2524575600
73,0,3011,3011,3,1011,1,3,1483196400,2524575600
74,0,3008,3008,3,1008,1,3,1483196400,2524575600
75,0,3009,3009,3,1009,1,3,1483196400,2524575600
76,0,3003,3003,3,1003,1,3,1483196400,2524575600
77,0,3007,3007,3,1007,1,3,1483196400,2524575600
78,0,3017,3017,3,1017,1,3,1483196400,2524575600
79,0,3056,3056,3,1056,1,3,1483196400,2524575600
80,0,3005,3005,3,1005,1,3,1626058800,2524575600
81,0,3060,3060,3,1060,1,3,1483196400,2524575600
