id,team_stadium_id,team_class,class_reward_type,item_category_1,item_id_1,item_num_1,item_category_2,item_id_2,item_num_2,item_category_3,item_id_3,item_num_3,item_category_4,item_id_4,item_num_4,item_category_5,item_id_5,item_num_5
1,1,1,3,103,98,500,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2,1,90,43,300,103,98,1000,0,0,0,0,0,0,0,0,0
3,1,2,3,90,43,25,103,98,1000,0,0,0,0,0,0,0,0,0
4,1,3,1,90,43,500,103,98,2000,0,0,0,0,0,0,0,0,0
5,1,3,3,90,43,50,103,98,2000,0,0,0,0,0,0,0,0,0
6,1,3,4,90,43,50,103,98,2000,0,0,0,0,0,0,0,0,0
7,1,4,1,90,43,700,103,98,3000,0,0,0,0,0,0,0,0,0
8,1,4,2,90,43,100,103,98,3000,0,0,0,0,0,0,0,0,0
9,1,4,3,90,43,100,103,98,3000,0,0,0,0,0,0,0,0,0
10,1,4,4,90,43,100,103,98,3000,0,0,0,0,0,0,0,0,0
11,1,5,1,90,43,1000,103,98,4000,0,0,0,0,0,0,0,0,0
12,1,5,2,90,43,150,103,98,4000,0,0,0,0,0,0,0,0,0
13,1,5,3,90,43,150,103,98,4000,0,0,0,0,0,0,0,0,0
14,1,5,4,90,43,150,103,98,4000,0,0,0,0,0,0,0,0,0
15,1,6,1,90,43,1500,103,98,5000,0,0,0,0,0,0,0,0,0
16,1,6,2,90,43,200,103,98,5000,0,0,0,0,0,0,0,0,0
17,1,6,3,90,43,250,103,98,5000,0,0,0,0,0,0,0,0,0
