id,skill_id1,skill_level1,skill_id2,skill_level2,skill_id3,skill_level3,skill_id4,skill_level4,skill_id5,skill_level5,skill_id6,skill_level6,skill_id7,skill_level7,skill_id8,skill_level8,skill_id9,skill_level9,skill_id10,skill_level10
8001,200012,1,200433,1,200532,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8002,200342,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8003,200192,1,200382,1,200552,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8004,200042,1,200542,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8005,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8006,200352,1,200462,1,200652,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8007,200022,1,200572,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8008,200362,1,200562,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8009,200192,1,200582,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8010,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8011,200012,1,200592,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8012,200391,1,200352,1,200602,1,200662,1,0,0,0,0,0,0,0,0,0,0,0,0
8013,200032,1,200612,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8014,200372,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8015,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8016,200022,1,200472,1,200502,1,200632,1,0,0,0,0,0,0,0,0,0,0,0,0
8017,200332,1,200452,1,200642,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8018,200162,1,200622,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8019,200442,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8020,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8021,200382,1,200542,1,200682,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8022,200042,1,200462,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8023,200342,1,200532,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8024,200232,1,200512,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8025,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8026,200282,1,200562,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8027,200032,1,200372,1,200582,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8028,200012,1,200492,1,200572,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8029,200321,1,200512,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8030,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8031,200262,1,200362,1,200592,1,200692,1,0,0,0,0,0,0,0,0,0,0,0,0
8032,200052,1,200352,1,200202,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8033,200411,1,200602,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8034,200022,1,200612,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8035,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8036,200302,1,200472,1,200622,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8037,200362,1,200632,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8038,200062,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8039,200311,1,200702,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8040,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8041,200332,1,200542,1,200732,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8042,200452,1,200521,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8043,200012,1,200401,1,200532,1,200712,1,0,0,0,0,0,0,0,0,0,0,0,0
8044,200382,1,200552,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8045,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8046,200372,1,200352,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8047,200032,1,200562,1,200582,1,200722,1,0,0,0,0,0,0,0,0,0,0,0,0
8048,200462,1,200572,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8049,200262,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8050,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8051,200262,1,200492,1,200602,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8052,200433,1,200592,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8053,200362,1,200502,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8054,200022,1,200352,1,200612,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8055,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8056,200342,1,200472,1,200622,1,200632,1,0,0,0,0,0,0,0,0,0,0,0,0
8057,200012,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8058,200391,1,200482,1,200642,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8059,200252,1,200442,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8060,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8061,200352,1,200552,1,200742,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8062,200052,1,200372,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8063,200401,1,200542,1,200762,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8064,200282,1,200532,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8065,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8066,200342,1,200202,1,200562,1,200752,1,0,0,0,0,0,0,0,0,0,0,0,0
8067,200372,1,200582,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8068,200022,1,200572,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8069,200462,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8070,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8071,200142,1,200592,1,200602,1,200762,1,0,0,0,0,0,0,0,0,0,0,0,0
8072,200022,1,200612,1,200752,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8073,200252,1,200512,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8074,200332,1,200482,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8075,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8076,200202,1,200362,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8077,200332,1,200492,1,200632,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8078,200012,1,200401,1,200202,1,200622,1,0,0,0,0,0,0,0,0,0,0,0,0
8079,200642,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8080,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8081,200382,1,200472,1,200532,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8082,200142,1,200552,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8083,200022,1,200332,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8084,200282,1,200542,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8085,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8086,200352,1,200572,1,200652,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8087,200062,1,200232,1,200582,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8088,200372,1,200562,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8089,200302,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8090,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8091,200411,1,200592,1,200612,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8092,200172,1,200433,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8093,200382,1,200482,1,200602,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
