id,chara_id,rarity,exchange_item_id,effect_table_id,unique_effect_id,command_type,command_id,support_card_type,skill_set_id,detail_pos_x,detail_pos_y,detail_scale,detail_rot_z,start_date,outing_max,effect_id
10001,1001,1,48,10001,0,1,103,1,9081001,0,-1100000,10000,0,1614092400,0,0
10002,1002,1,48,10002,0,1,101,1,9081002,0,-1100000,10000,0,1614092400,0,0
10003,1003,1,48,10003,0,1,101,1,9081003,0,-900000,10000,0,1614092400,0,0
10004,1004,1,48,10004,0,1,101,1,9081004,0,-1000000,10000,0,1614092400,0,0
10005,1006,1,48,10005,0,1,102,1,9081006,0,-1100000,10000,0,1614092400,0,0
10006,1007,1,48,10006,0,1,105,1,9081007,0,-1100000,10000,0,1614092400,0,0
10007,1008,1,48,10007,0,1,102,1,9081008,0,-1100000,10000,0,1614092400,0,0
10008,1010,1,48,10008,0,1,101,1,9081010,0,-1100000,10000,0,1614092400,0,0
10009,1011,1,48,10009,0,1,103,1,9081011,0,-10000,10000,0,1614092400,0,0
10010,1013,1,48,10010,0,1,105,1,9081013,0,-850000,10000,0,1614092400,0,0
10011,1014,1,48,10011,0,1,102,1,9081014,0,-1100000,10000,0,1614092400,0,0
10012,1015,1,48,10012,0,1,105,1,9081015,0,-1000000,10000,0,1614092400,0,0
10013,1017,1,48,10013,0,1,106,1,9081017,0,-1100000,10000,0,1614092400,0,0
10014,1020,1,48,10014,0,1,105,1,9081020,0,-500000,10000,0,1614092400,0,0
10015,1030,1,48,10015,0,1,105,1,9081030,0,10000,10000,0,1614092400,0,0
10016,1035,1,48,10016,0,1,103,1,9081035,0,-300000,10000,0,1614092400,0,0
10017,1040,1,48,10017,0,1,101,1,9081040,0,-600000,10000,0,1614092400,0,0
10018,1041,1,48,10018,0,1,101,1,9081041,0,-300000,10000,0,1614092400,0,0
10019,1045,1,48,10019,0,1,105,1,9081045,0,-600000,10000,0,1614092400,0,0
10020,1052,1,48,10020,0,1,103,1,9081052,0,0,10000,0,1614092400,0,0
10021,9001,1,48,10021,0,0,0,2,9089001,0,-1250000,10000,0,1614092400,5,0
10022,9004,1,48,10022,0,0,0,2,9089004,0,-600000,10000,0,1614092400,5,0
