id,group_id,odds,item_exchange_id,ribbon_value
1,101,1000000,10220,0
2,102,1000000,10221,0
3,103,200000,10226,0
4,103,200000,10227,0
5,103,200000,10228,0
6,103,200000,10229,0
7,103,200000,10230,0
8,104,1000000,10232,0
9,105,40000,10000,0
10,105,40000,10003,0
11,105,40000,10004,0
12,105,40000,10010,0
13,105,40000,10016,0
14,105,87500,10005,0
15,105,87500,10006,0
16,105,87500,10007,0
17,105,87500,10013,0
18,105,112500,10017,0
19,105,112500,10019,0
20,105,112500,10022,0
21,105,112500,10023,0
22,106,50000,10001,0
23,106,50000,10002,0
24,106,50000,10008,0
25,106,50000,10012,0
26,106,87500,10009,0
27,106,87500,10011,0
28,106,87500,10020,0
29,106,87500,10014,0
30,106,112500,10015,0
31,106,112500,10018,0
32,106,112500,10021,0
33,106,112500,10024,0
34,111,1000000,10220,0
35,112,1000000,10221,0
36,113,200000,10226,0
37,113,200000,10227,0
38,113,200000,10228,0
39,113,200000,10229,0
40,113,200000,10230,0
41,114,1000000,10232,0
42,115,13340,10000,0
43,115,13340,10003,0
44,115,13340,10004,0
45,115,13340,10010,0
46,115,13340,10016,0
47,115,13340,10043,0
48,115,13340,10026,0
49,115,13340,10027,0
50,115,13340,10029,0
51,115,13340,10031,0
52,115,13340,10033,0
53,115,13340,10040,0
54,115,13340,10037,0
55,115,13340,10038,0
56,115,13340,10039,0
57,115,87500,10005,0
58,115,87500,10006,0
59,115,87500,10007,0
60,115,87500,10013,0
61,115,112475,10017,0
62,115,112475,10019,0
63,115,112475,10022,0
64,115,112475,10023,0
65,116,14286,10001,0
66,116,14286,10002,0
67,116,14286,10008,0
68,116,14286,10012,0
69,116,14286,10041,0
70,116,14286,10044,0
71,116,14286,10025,0
72,116,14286,10028,0
73,116,14286,10030,0
74,116,14286,10032,0
75,116,14286,10034,0
76,116,14286,10036,0
77,116,14286,10035,0
78,116,14286,10042,0
79,116,87500,10009,0
80,116,87500,10011,0
81,116,87500,10020,0
82,116,87500,10014,0
83,116,112499,10015,0
84,116,112499,10018,0
85,116,112499,10021,0
86,116,112499,10024,0
87,117,33300,10300,0
88,117,33300,10301,0
89,117,33300,10302,0
90,117,33300,10303,0
91,117,33300,10304,0
92,117,33300,10305,0
93,117,33300,10306,0
94,117,33300,10307,0
95,117,33300,10308,0
96,117,33300,10309,0
97,117,33300,10310,0
98,117,33300,10311,0
99,117,33300,10312,0
