id,item_place_id,start_date,end_date
100000,0,2017/1/1 0:00:00,2050/1/1 0:00:00
100101,100101,2017/1/1 0:00:00,2050/1/1 0:00:00
100102,100102,2021/7/29 12:00:00,2050/1/1 0:00:00
100103,100103,2022/7/20 12:00:00,2050/1/1 0:00:00
100201,100201,2017/1/1 0:00:00,2050/1/1 0:00:00
100301,100301,2017/1/1 0:00:00,2050/1/1 0:00:00
100302,100302,2021/3/30 12:00:00,2050/1/1 0:00:00
100401,100401,2017/1/1 0:00:00,2050/1/1 0:00:00
100402,100402,2021/7/29 12:00:00,2050/1/1 0:00:00
100501,100501,2021/7/12 12:00:00,2050/1/1 0:00:00
100502,100502,2022/3/29 12:00:00,2050/1/1 0:00:00
100601,100601,2017/1/1 0:00:00,2050/1/1 0:00:00
100602,100602,2021/11/29 12:00:00,2050/1/1 0:00:00
100701,100701,2017/1/1 0:00:00,2050/1/1 0:00:00
100702,100702,2022/7/29 12:00:00,2050/1/1 0:00:00
100801,100801,2017/1/1 0:00:00,2050/1/1 0:00:00
100802,100802,2022/11/28 12:00:00,2050/1/1 0:00:00
100901,100901,2017/1/1 0:00:00,2050/1/1 0:00:00
100902,100902,2022/11/28 12:00:00,2050/1/1 0:00:00
101001,101001,2017/1/1 0:00:00,2050/1/1 0:00:00
101002,101002,2022/6/30 12:00:00,2050/1/1 0:00:00
101101,101101,2017/1/1 0:00:00,2050/1/1 0:00:00
101102,101102,2021/6/29 12:00:00,2050/1/1 0:00:00
101201,101201,2021/6/21 12:00:00,2050/1/1 0:00:00
101301,101301,2017/1/1 0:00:00,2050/1/1 0:00:00
101302,101302,2021/3/30 12:00:00,2050/1/1 0:00:00
101303,101303,2022/7/29 12:00:00,2050/1/1 0:00:00
101401,101401,2017/1/1 0:00:00,2050/1/1 0:00:00
101402,101402,2021/6/29 12:00:00,2050/1/1 0:00:00
101501,101501,2021/3/2 12:00:00,2050/1/1 0:00:00
101502,101502,2021/12/31 12:00:00,2050/1/1 0:00:00
101601,101601,2021/5/17 12:00:00,2050/1/1 0:00:00
101602,101602,2022/12/20 12:00:00,2050/1/1 0:00:00
101701,101701,2017/1/1 0:00:00,2050/1/1 0:00:00
101702,101702,2021/10/28 12:00:00,2050/1/1 0:00:00
101801,101801,2017/1/1 0:00:00,2050/1/1 0:00:00
101802,101802,2021/5/28 12:00:00,2050/1/1 0:00:00
101901,101901,2021/9/20 12:00:00,2050/1/1 0:00:00
101902,101902,2022/9/29 12:00:00,2050/1/1 0:00:00
102001,102001,2021/6/10 12:00:00,2050/1/1 0:00:00
102002,102002,2022/3/29 12:00:00,2050/1/1 0:00:00
102101,102101,2021/12/22 12:00:00,2050/1/1 0:00:00
102102,102102,2022/10/28 12:00:00,2050/1/1 0:00:00
102201,102201,2021/12/14 12:00:00,2050/1/1 0:00:00
102202,102202,2022/5/30 12:00:00,2050/1/1 0:00:00
102301,102301,2021/3/18 12:00:00,2050/1/1 0:00:00
102302,102302,2021/11/29 12:00:00,2050/1/1 0:00:00
102401,102401,2017/1/1 0:00:00,2050/1/1 0:00:00
102402,102402,2021/5/28 12:00:00,2050/1/1 0:00:00
102501,102501,2021/10/20 12:00:00,2050/1/1 0:00:00
102601,102601,2021/3/9 12:00:00,2050/1/1 0:00:00
102602,102602,2022/1/28 12:00:00,2050/1/1 0:00:00
102701,102701,2017/1/1 0:00:00,2050/1/1 0:00:00
102702,102702,2023/1/30 12:00:00,2050/1/1 0:00:00
102801,102801,2021/9/10 12:00:00,2050/1/1 0:00:00
102901,102901,2022/9/12 12:00:00,2050/1/1 0:00:00
103001,103001,2017/1/1 0:00:00,2050/1/1 0:00:00
103002,103002,2021/9/29 12:00:00,2050/1/1 0:00:00
103101,103101,2022/5/10 12:00:00,2050/1/1 0:00:00
103102,103102,2023/1/30 12:00:00,2050/1/1 0:00:00
103201,103201,2017/1/1 0:00:00,2050/1/1 0:00:00
103301,103301,2022/2/16 12:00:00,2050/1/1 0:00:00
103401,103401,2022/6/10 12:00:00,2050/1/1 0:00:00
103402,103402,2022/10/28 12:00:00,2050/1/1 0:00:00
103501,103501,2017/1/1 0:00:00,2050/1/1 0:00:00
103502,103502,2022/8/29 12:00:00,2050/1/1 0:00:00
103601,103601,2022/7/11 12:00:00,2050/1/1 0:00:00
103701,103701,2021/8/20 12:00:00,2050/1/1 0:00:00
103702,103702,2022/1/28 12:00:00,2050/1/1 0:00:00
103801,103801,2021/4/15 12:00:00,2050/1/1 0:00:00
103802,103802,2022/5/30 12:00:00,2050/1/1 0:00:00
103901,103901,2021/10/11 12:00:00,2050/1/1 0:00:00
104001,104001,2021/7/20 12:00:00,2050/1/1 0:00:00
104002,104002,2021/10/28 12:00:00,2050/1/1 0:00:00
104101,104101,2017/1/1 0:00:00,2050/1/1 0:00:00
104201,104201,2022/9/20 12:00:00,2050/1/1 0:00:00
104301,104301,2023/2/13 12:00:00,2050/1/1 0:00:00
104401,104401,2022/6/20 12:00:00,2050/1/1 0:00:00
104501,104501,2017/1/1 0:00:00,2050/1/1 0:00:00
104502,104502,2021/9/29 12:00:00,2050/1/1 0:00:00
104601,104601,2021/5/6 12:00:00,2050/1/1 0:00:00
104602,104602,2022/8/24 12:00:00,2050/1/1 0:00:00
104701,104701,2022/12/12 12:00:00,2050/1/1 0:00:00
104801,104801,2021/11/8 12:00:00,2050/1/1 0:00:00
104901,104901,2022/11/9 12:00:00,2050/1/1 0:00:00
105001,105001,2021/4/26 12:00:00,2050/1/1 0:00:00
105002,105002,2022/8/29 12:00:00,2050/1/1 0:00:00
105101,105101,2022/4/11 12:00:00,2050/1/1 0:00:00
105201,105201,2017/1/1 0:00:00,2050/1/1 0:00:00
105202,105202,2021/12/31 12:00:00,2050/1/1 0:00:00
105301,105301,2022/8/10 12:00:00,2050/1/1 0:00:00
105601,105601,2017/1/1 0:00:00,2050/1/1 0:00:00
105602,105602,2021/8/30 12:00:00,2050/1/1 0:00:00
105701,105701,2023/2/24 12:00:00,2050/1/1 0:00:00
105801,105801,2021/8/11 12:00:00,2050/1/1 0:00:00
105802,105802,2022/9/29 12:00:00,2050/1/1 0:00:00
105901,105901,2021/11/19 12:00:00,2050/1/1 0:00:00
105902,105902,2022/6/30 12:00:00,2050/1/1 0:00:00
106001,106001,2017/1/1 0:00:00,2050/1/1 0:00:00
106002,106002,2022/4/28 12:00:00,2050/1/1 0:00:00
106101,106101,2017/1/1 0:00:00,2050/1/1 0:00:00
106102,106102,2022/4/28 12:00:00,2050/1/1 0:00:00
106201,106201,2022/2/24 12:00:00,2050/1/1 0:00:00
106401,106401,2022/5/20 12:00:00,2050/1/1 0:00:00
106501,106501,2023/1/20 12:00:00,2050/1/1 0:00:00
106601,106601,2023/2/24 12:00:00,2050/1/1 0:00:00
106701,106701,2022/3/7 12:00:00,2050/1/1 0:00:00
106702,106702,2022/12/29 12:00:00,2050/1/1 0:00:00
106801,106801,2022/2/24 12:00:00,2050/1/1 0:00:00
106802,106802,2022/12/29 12:00:00,2050/1/1 0:00:00
106901,106901,2022/1/20 12:00:00,2050/1/1 0:00:00
107101,107101,2022/2/8 12:00:00,2050/1/1 0:00:00
107201,107201,2022/4/19 12:00:00,2050/1/1 0:00:00
107401,107401,2022/3/18 12:00:00,2050/1/1 0:00:00
107801,107801,2022/10/19 12:00:00,2050/1/1 0:00:00
108701,108701,2022/10/11 12:00:00,2050/1/1 0:00:00
