id,scenario_id,chara_id,race_set_id,condition_set_id,priority
1,0,1001,1001,0,0
2,0,1006,1006,0,0
3,0,1009,1009,0,0
4,0,1010,1010,0,0
5,0,1013,1013,0,0
6,0,1052,1052,0,0
7,0,1030,1030,0,0
8,0,1003,1003,0,0
9,0,1056,1056,0,0
10,0,1011,1011,0,0
11,0,1002,1002,0,0
12,0,1045,1045,0,0
13,0,1027,1027,0,0
14,0,1024,1024,0,0
15,0,1060,1060,0,0
16,0,1018,1018,0,0
17,0,1032,1032,0,0
18,0,1017,1017,0,0
19,0,1061,1061,0,0
20,0,1004,1004,0,0
21,0,1041,1041,0,0
22,0,1014,1014,0,0
23,0,1008,1008,0,0
24,0,1007,1007,0,0
25,0,1035,1035,0,0
26,0,1015,1015,0,0
27,0,1026,1026,0,0
28,0,1023,1023,0,0
29,0,1038,1038,0,0
30,0,1050,1050,0,0
31,0,1046,1046,0,0
32,0,1016,1016,0,0
33,0,1020,1020,0,0
34,0,1012,1012,0,0
35,0,1005,1005,0,0
36,0,1040,1040,0,0
37,0,1058,1058,0,0
38,0,1037,1037,0,0
39,0,1028,1028,0,0
40,0,1019,1019,0,0
41,0,1039,1039,0,0
42,0,1025,1025,0,0
43,0,1048,1048,0,0
44,0,1059,1059,0,0
45,0,1022,1022,0,0
46,0,1021,1021,0,0
47,0,1069,1069,0,0
48,0,1071,1071,0,0
49,0,1033,1033,0,0
50,0,1062,1062,0,0
51,0,1068,1068,0,0
52,0,1067,1067,0,0
53,0,1074,1074,0,0
54,0,1051,1051,0,0
55,0,1072,1072,0,0
56,0,1031,1031,0,0
57,0,1064,1064,0,0
58,0,1034,1034,0,0
59,0,1044,1044,0,0
60,0,1036,1036,0,0
61,0,1053,1053,0,0
62,0,1098,1098,0,0
63,0,1029,1029,0,0
64,0,1042,1042,0,0
65,0,1087,1087,0,0
66,0,1078,1078,0,0
67,0,1049,1049,0,0
68,0,1100,1100,0,0
69,0,1047,1047,0,0
70,0,1099,1099,0,0
71,0,1065,1065,0,0
72,0,1043,1043,0,0
73,0,1066,1066,0,0
74,0,1057,1057,0,0
10000,4,0,10006,0,400
10001,4,0,10001,10001,405
10002,4,0,10002,10002,406
10003,4,0,10003,10003,407
10004,4,0,10004,10004,408
10006,4,0,10006,10006,402
10007,4,0,10007,10007,403
