id,category,index,text
211,211,3,　ストーリーイベント開催決定！
211,211,4,　ストーリーイベント開催決定！
211,211,5,　ストーリーイベント開催決定！
211,211,6,　ストーリーイベント開催決定！
211,211,9,　ストーリーイベント開催決定！
211,211,10,　ストーリーイベント開催決定！
211,211,11,　ストーリーイベント開催決定！
211,211,12,　ストーリーイベント開催決定！
211,211,13,　ストーリーイベント開催決定！
211,211,14,　ストーリーイベント開催決定！
211,211,15,　ストーリーイベント開催決定！
211,211,16,　ストーリーイベント開催決定！
211,211,17,　ストーリーイベント開催決定！
211,211,18,　ストーリーイベント開催決定！
211,211,19,　ストーリーイベント開催決定！
211,211,20,　ストーリーイベント開催決定！
211,211,21,　ストーリーイベント開催決定！
211,211,22,　ストーリーイベント開催決定！
211,211,23,　ストーリーイベント開催決定！
212,212,3,　<caption = ''>7/29 12:00から、ストーリーイベント「あの娘が水着に着替えたら　ウマ娘夏物語」の開催が決定しました！\n\nストーリーイベント「あの娘が水着に着替えたら　ウマ娘夏物語」は、ウマ娘たちを育成してイベントPtを集め、限定ストーリーの解放や限定SSRサポートカードなど豪華報酬の獲得を目指すイベントです。\n\n今回から、イベント予告にボイスを追加いたしました。\n予告ボイスはイベント報酬受け取り期間終了後、ホームの[ストーリー]から[エクストラ]を選択して再生できます。</caption>\n\n<caption = '開催期間'>7/29 12:00 ～ 8/11 11:59</caption>\n\n<caption = '注意事項'>1. ストーリーイベントについての詳細は、イベント開催後に掲載されるお知らせや、ストーリーイベント「あの娘が水着に着替えたら　ウマ娘夏物語」のトップ画面右上の[ヘルプ]をご確認ください。\n2. イベント開催期間および内容は、予告なく変更する場合があります。</caption>
266,266,2,視聴する場合はYouTubeの動画を再生するため\n外部サイトにアクセスします
266,266,266,外部サイトにアクセスします
266,266,274,視聴する場合はYouTubeの動画を再生するため\n外部サイトにアクセスします
266,266,90001,アニメ『うまゆる』第1～3話が配信中です！
266,266,90002,アニメ『うまゆる』第4話が配信中です！
266,266,90003,アニメ『うまゆる』第5話が配信中です！
266,266,90004,アニメ『うまゆる』第6話が配信中です！
266,266,90005,アニメ『うまゆる』第7話が配信中です！
266,266,90006,アニメ『うまゆる』第8話が配信中です！
266,266,90007,アニメ『うまゆる』第9話が配信中です！
266,266,90008,アニメ『うまゆる』第10話が配信中です！
266,266,90009,アニメ『うまゆる』第11話が配信中です！
266,266,90010,アニメ『うまゆる』第12話が配信中です！
266,266,90011,アニメ『うまゆる』第13話が配信中です！
266,266,90012,アニメ『うまゆる』第14話が配信中です！
266,266,90013,アニメ『うまゆる』第15話が配信中です！
266,266,90014,アニメ『うまゆる』第16話が配信中です！
266,266,90015,アニメ『うまゆる』第17話が配信中です！
266,266,90016,アニメ『うまゆる』第18話が配信中です！
266,266,90017,アニメ『うまゆる』第19話が配信中です！
266,266,90018,アニメ『うまゆる』第20話が配信中です！
266,266,90019,アニメ『うまゆる』第21話が配信中です！
266,266,90020,アニメ『うまゆる』第22話が配信中です！
266,266,90021,アニメ『うまゆる』第23話が配信中です！
266,266,90022,アニメ『うまゆる』第24話が配信中です！
269,269,90001,視聴する場合はYouTubeの動画を再生するため\n外部サイトにアクセスします
