id,round_id,win_percent_type,text_number,resource_id,race_track_id,ground,distance,weather
1000,1,1,1,0,0,0,0,0
1001,1,1,1,0,0,0,0,0
1002,1,1,1,0,0,0,0,0
1003,1,1,1,0,0,1,0,0
1004,1,1,1,0,0,0,0,0
1005,1,1,1,0,0,0,0,0
1006,1,1,1,0,0,0,0,0
1007,1,1,1,0,0,0,0,0
1008,1,1,1,0,0,0,0,0
1009,1,1,1,0,0,0,0,0
1010,1,1,1,0,0,0,0,0
1100,1,2,1,0,0,0,0,0
1101,1,2,1,0,0,0,0,0
1102,1,2,1,0,0,0,0,0
1103,1,2,1,0,0,0,0,0
1104,1,2,1,0,0,0,0,0
1105,1,2,1,0,0,0,0,0
1106,1,2,1,0,0,0,0,0
1200,1,1,2,0,0,0,0,0
1201,1,1,2,0,0,0,0,0
1202,1,1,2,0,0,0,0,0
1203,1,1,2,0,0,0,0,0
1204,1,1,2,0,0,0,0,0
1205,1,1,2,0,0,0,0,0
1206,1,1,2,0,0,0,0,0
1207,1,1,2,0,0,0,0,0
1208,1,1,2,0,0,0,0,0
1209,1,1,2,0,0,0,0,0
1210,1,1,2,0,0,0,0,0
1300,1,2,2,0,0,0,0,0
1301,1,2,2,0,0,0,0,1
1302,1,2,2,0,0,0,0,0
1303,1,2,2,0,0,0,0,0
1304,1,2,2,0,0,0,0,0
1305,1,2,2,0,0,0,0,0
1306,1,2,2,0,0,0,0,0
1307,1,2,2,0,0,0,0,0
1308,1,2,2,0,0,0,0,0
1400,1,1,3,0,0,0,0,0
1401,1,1,3,0,0,0,0,0
1402,1,1,3,0,0,0,0,0
1403,1,1,3,0,0,0,0,0
1404,1,1,3,0,0,0,0,0
1405,1,1,3,0,0,0,0,0
1406,1,1,3,0,0,0,0,0
1407,1,1,3,0,0,0,0,0
1408,1,1,3,0,0,0,0,0
1500,1,2,3,0,0,0,0,0
1501,1,2,3,0,0,0,0,0
1502,1,2,3,0,0,0,0,0
1503,1,2,3,0,0,0,0,0
1504,1,2,3,0,0,0,0,0
1505,1,2,3,0,0,0,0,0
2000,2,1,1,0,0,0,0,0
2001,2,1,1,0,0,0,0,0
2002,2,1,1,0,0,0,0,0
2003,2,1,1,0,0,1,0,0
2004,2,1,1,0,0,0,0,0
2005,2,1,1,0,0,0,0,0
2006,2,1,1,0,0,0,0,0
2007,2,1,1,0,0,0,0,0
2008,2,1,1,0,0,0,0,0
2009,2,1,1,0,0,0,0,0
2010,2,1,1,0,0,0,0,0
2100,2,2,1,0,0,0,0,0
2101,2,2,1,0,0,0,0,0
2102,2,2,1,0,0,0,0,0
2103,2,2,1,0,0,0,0,0
2104,2,2,1,0,0,0,0,0
2105,2,2,1,0,0,0,0,0
2106,2,2,1,0,0,0,0,0
2200,2,1,2,0,0,0,0,0
2201,2,1,2,0,0,0,0,0
2202,2,1,2,0,0,0,0,0
2203,2,1,2,0,0,0,0,0
2204,2,1,2,0,0,0,0,0
2205,2,1,2,0,0,0,0,0
2206,2,1,2,0,0,0,0,0
2207,2,1,2,0,0,0,0,0
2208,2,1,2,0,0,0,0,0
2209,2,1,2,0,0,0,0,0
2210,2,1,2,0,0,0,0,0
2300,2,2,2,0,0,0,0,0
2301,2,2,2,0,0,0,0,1
2302,2,2,2,0,0,0,0,0
2303,2,2,2,0,0,0,0,0
2304,2,2,2,0,0,0,0,0
2305,2,2,2,0,0,0,0,0
2306,2,2,2,0,0,0,0,0
2307,2,2,2,0,0,0,0,0
2308,2,2,2,0,0,0,0,0
2400,2,1,3,0,0,0,0,0
2401,2,1,3,0,0,0,0,0
2402,2,1,3,0,0,0,0,0
2403,2,1,3,0,0,0,0,0
2404,2,1,3,0,0,0,0,0
2405,2,1,3,0,0,0,0,0
2406,2,1,3,0,0,0,0,0
2407,2,1,3,0,0,0,0,0
2408,2,1,3,0,0,0,0,0
2500,2,2,3,0,0,0,0,0
2501,2,2,3,0,0,0,0,0
2502,2,2,3,0,0,0,0,0
2503,2,2,3,0,0,0,0,0
2504,2,2,3,0,0,0,0,0
2505,2,2,3,0,0,0,0,0
3000,3,1,1,0,0,0,0,0
3001,3,1,1,0,0,0,0,0
3002,3,1,1,0,0,0,0,0
3003,3,1,1,0,0,1,0,0
3004,3,1,1,0,0,0,0,0
3005,3,1,1,0,0,0,0,0
3006,3,1,1,0,0,0,0,0
3007,3,1,1,0,0,0,0,0
3008,3,1,1,0,0,0,0,0
3009,3,1,1,0,0,0,0,0
3010,3,1,1,0,0,0,0,0
3100,3,2,1,0,0,0,0,0
3101,3,2,1,0,0,0,0,0
3102,3,2,1,0,0,0,0,0
3103,3,2,1,0,0,0,0,0
3104,3,2,1,0,0,0,0,0
3105,3,2,1,0,0,0,0,0
3106,3,2,1,0,0,0,0,0
3200,3,1,2,0,0,0,0,0
3201,3,1,2,0,0,0,0,0
3202,3,1,2,0,0,0,0,0
3203,3,1,2,0,0,0,0,0
3204,3,1,2,0,0,0,0,0
3205,3,1,2,0,0,0,0,0
3206,3,1,2,0,0,0,0,0
3207,3,1,2,0,0,0,0,0
3208,3,1,2,0,0,0,0,0
3209,3,1,2,0,0,0,0,0
3210,3,1,2,0,0,0,0,0
3300,3,2,2,0,0,0,0,0
3301,3,2,2,0,0,0,0,1
3302,3,2,2,0,0,0,0,0
3303,3,2,2,0,0,0,0,0
3304,3,2,2,0,0,0,0,0
3305,3,2,2,0,0,0,0,0
3306,3,2,2,0,0,0,0,0
3307,3,2,2,0,0,0,0,0
3308,3,2,2,0,0,0,0,0
3400,3,1,3,0,0,0,0,0
3401,3,1,3,0,0,0,0,0
3402,3,1,3,0,0,0,0,0
3403,3,1,3,0,0,0,0,0
3404,3,1,3,0,0,0,0,0
3405,3,1,3,0,0,0,0,0
3406,3,1,3,0,0,0,0,0
3407,3,1,3,0,0,0,0,0
3408,3,1,3,0,0,0,0,0
3500,3,2,3,0,0,0,0,0
3501,3,2,3,0,0,0,0,0
3502,3,2,3,0,0,0,0,0
3503,3,2,3,0,0,0,0,0
3504,3,2,3,0,0,0,0,0
3505,3,2,3,0,0,0,0,0
