id,chara_id,card_id,card_rarity_id,trigger,param1,per,priority,sys_text_id
1,0,0,0,10,0,100,0,12
2,0,0,0,11,0,100,0,11
3,0,0,0,12,0,100,0,13
5,0,0,0,202,0,100,0,10000
6,0,0,0,202,0,100,0,10001
7,0,0,0,202,0,100,0,10002
8,0,0,0,211,0,100,0,10003
9,0,0,0,212,0,100,0,10004
10,0,0,0,213,0,100,0,10005
11,0,0,0,214,0,100,0,10006
12,0,0,0,215,0,100,0,10007
13,0,0,0,216,0,100,0,10008
14,0,0,0,217,0,100,0,10009
15,0,0,0,218,0,100,0,10010
16,0,0,0,219,0,100,0,10011
17,0,0,0,220,0,100,0,10012
18,0,0,0,221,0,100,0,10013
19,0,0,0,222,0,100,0,10014
20,0,0,0,300,0,100,0,10015
21,0,0,0,301,0,100,0,10016
22,0,0,0,302,0,100,0,10017
23,0,0,0,303,0,100,0,10018
24,0,0,0,304,0,100,0,10019
26,0,0,0,1003,0,100,10,20000
27,0,0,0,1003,0,100,10,20001
28,0,0,0,1004,0,100,0,20002
29,0,0,0,1004,0,100,0,20003
30,0,0,0,1005,0,100,0,20004
31,0,0,0,1005,0,100,0,20005
32,0,0,0,1006,0,100,0,20006
33,0,0,0,1006,0,100,0,20007
34,0,0,0,1007,0,100,0,20008
35,0,0,0,1007,0,100,0,20009
36,0,0,0,1008,0,100,0,20010
37,0,0,0,1008,0,100,0,20011
47,0,0,0,1201,0,100,0,20021
48,0,0,0,1202,0,100,0,20022
49,0,0,0,1203,0,100,0,20023
50,0,0,0,1203,0,100,0,20024
51,0,0,0,1203,0,100,0,20025
52,0,0,0,1204,0,100,0,20026
53,0,0,0,1204,0,100,0,20027
54,0,0,0,1204,0,100,0,20028
55,0,0,0,1205,0,100,0,20029
56,0,0,0,1205,0,100,0,20030
57,0,0,0,1205,0,100,0,20031
58,0,0,0,1206,0,100,0,20032
59,0,0,0,1206,0,100,0,20033
60,0,0,0,1206,0,100,0,20034
61,0,0,0,1207,0,100,0,20035
62,0,0,0,1207,0,100,0,20036
63,0,0,0,1207,0,100,0,20037
64,0,0,0,1300,0,100,0,20038
65,0,0,0,1300,0,100,0,20039
66,0,0,0,1300,0,100,0,20040
67,0,0,0,1301,0,100,0,20041
68,0,0,0,1302,0,100,0,20042
69,0,0,0,1303,0,100,0,20043
72,0,0,0,1400,0,100,0,20046
73,0,0,0,1401,0,100,0,20047
74,0,0,0,1902,0,100,0,20049
75,0,0,0,1903,0,100,0,20050
76,0,0,0,1905,0,100,0,30000
77,0,0,0,1906,0,100,0,30001
78,0,0,0,1907,0,100,0,30002
79,0,0,0,1908,0,100,0,30003
83,0,0,0,4000,0,100,0,60000
84,0,0,0,4000,0,100,0,60001
86,0,0,0,6000,0,100,0,70000
87,0,0,0,6001,2,100,0,70004
89,0,0,0,6001,5,100,0,70004
91,0,0,0,6001,101,100,0,70008
93,0,0,0,6001,100101,100,0,70009
94,0,0,0,6001,100201,100,0,70009
95,0,0,0,6001,100301,100,0,70009
96,0,0,0,6001,100401,100,0,70009
97,0,0,0,6001,100501,100,0,70009
98,0,0,0,6001,100601,100,0,70009
99,0,0,0,6001,100701,100,0,70009
100,0,0,0,6001,100801,100,0,70009
101,0,0,0,6001,100901,100,0,70009
102,0,0,0,6001,101001,100,0,70009
103,0,0,0,6001,101101,100,0,70009
104,0,0,0,6001,101201,100,0,70009
105,0,0,0,6001,101301,100,0,70009
106,0,0,0,6001,101401,100,0,70009
107,0,0,0,6001,101501,100,0,70009
108,0,0,0,6001,101601,100,0,70009
109,0,0,0,6001,101701,100,0,70009
110,0,0,0,6001,101801,100,0,70009
111,0,0,0,6001,101901,100,0,70009
112,0,0,0,6001,102001,100,0,70009
113,0,0,0,6001,102101,100,0,70009
114,0,0,0,6001,102201,100,0,70009
115,0,0,0,6001,102301,100,0,70009
116,0,0,0,6001,102401,100,0,70009
117,0,0,0,6001,102501,100,0,70009
118,0,0,0,6001,102601,100,0,70009
119,0,0,0,6001,102701,100,0,70009
120,0,0,0,6001,102801,100,0,70009
121,0,0,0,6001,102901,100,0,70009
122,0,0,0,6001,103001,100,0,70009
123,0,0,0,6001,103101,100,0,70009
124,0,0,0,6001,103201,100,0,70009
125,0,0,0,6001,103301,100,0,70009
126,0,0,0,6001,103401,100,0,70009
127,0,0,0,6001,103501,100,0,70009
128,0,0,0,6001,103601,100,0,70009
129,0,0,0,6001,103701,100,0,70009
130,0,0,0,6001,103801,100,0,70009
131,0,0,0,6001,103901,100,0,70009
132,0,0,0,6001,104001,100,0,70009
133,0,0,0,6001,104101,100,0,70009
134,0,0,0,6001,104201,100,0,70009
135,0,0,0,6001,104301,100,0,70009
136,0,0,0,6001,104401,100,0,70009
137,0,0,0,6001,104501,100,0,70009
138,0,0,0,6001,104601,100,0,70009
139,0,0,0,6001,104701,100,0,70009
140,0,0,0,6001,104801,100,0,70009
141,0,0,0,6001,104901,100,0,70009
142,0,0,0,6001,105001,100,0,70009
143,0,0,0,6001,105101,100,0,70009
144,0,0,0,6001,105201,100,0,70009
145,0,0,0,6001,105301,100,0,70009
146,0,0,0,6001,105401,100,0,70009
147,0,0,0,6001,105501,100,0,70009
148,0,0,0,6001,105601,100,0,70009
149,0,0,0,6001,105701,100,0,70009
150,0,0,0,6001,105801,100,0,70009
151,0,0,0,6001,105901,100,0,70009
152,0,0,0,6001,106001,100,0,70009
153,0,0,0,6001,106101,100,0,70009
154,0,0,0,6002,2,100,0,70010
156,0,0,0,6002,5,100,0,70010
158,0,0,0,6002,101,100,0,70014
159,0,0,0,6002,100101,100,0,70015
160,0,0,0,6002,100201,100,0,70015
161,0,0,0,6002,100301,100,0,70015
162,0,0,0,6002,100401,100,0,70015
163,0,0,0,6002,100501,100,0,70015
164,0,0,0,6002,100601,100,0,70015
165,0,0,0,6002,100701,100,0,70015
166,0,0,0,6002,100801,100,0,70015
167,0,0,0,6002,100901,100,0,70015
168,0,0,0,6002,101001,100,0,70015
169,0,0,0,6002,101101,100,0,70015
170,0,0,0,6002,101201,100,0,70015
171,0,0,0,6002,101301,100,0,70015
172,0,0,0,6002,101401,100,0,70015
173,0,0,0,6002,101501,100,0,70015
174,0,0,0,6002,101601,100,0,70015
175,0,0,0,6002,101701,100,0,70015
176,0,0,0,6002,101801,100,0,70015
177,0,0,0,6002,101901,100,0,70015
178,0,0,0,6002,102001,100,0,70015
179,0,0,0,6002,102101,100,0,70015
180,0,0,0,6002,102201,100,0,70015
181,0,0,0,6002,102301,100,0,70015
182,0,0,0,6002,102401,100,0,70015
183,0,0,0,6002,102501,100,0,70015
184,0,0,0,6002,102601,100,0,70015
185,0,0,0,6002,102701,100,0,70015
186,0,0,0,6002,102801,100,0,70015
187,0,0,0,6002,102901,100,0,70015
188,0,0,0,6002,103001,100,0,70015
189,0,0,0,6002,103101,100,0,70015
190,0,0,0,6002,103201,100,0,70015
191,0,0,0,6002,103301,100,0,70015
