id,box_id,box_num,item_category,item_id,item_num,rate,prize_type
1,1,5,90,43,300,2,0
2,1,2,164,149,1,2,0
3,1,2,164,150,1,2,0
4,1,15,91,59,30000,10,0
5,1,15,30,110,15000,10,0
6,1,10,91,59,15000,20,0
7,1,10,30,110,7500,20,0
8,1,3,103,98,1000,20,0
9,1,5,150,117,1,7,0
10,1,5,150,118,1,7,0
11,2,0,91,59,1500,10,0
12,2,0,30,110,1000,10,0
13,2,0,91,59,1000,15,0
14,2,0,30,110,500,15,0
15,2,0,21,34,1,3,0
16,2,0,34,95,1,3,0
17,2,0,103,98,150,7,0
18,2,0,103,98,100,9,0
19,2,0,11,90,1,14,0
20,2,0,11,4,1,14,0
21,3,0,91,59,12000,7,1
22,3,0,30,110,1200,7,1
23,3,0,34,95,3,7,1
24,3,0,102,100701,1,7,2
25,3,0,91,59,5640,7,2
26,3,0,30,110,564,7,2
27,3,0,103,98,564,7,2
28,3,0,11,10,1,7,3
29,3,0,11,7,1,7,3
30,3,0,11,80,1,7,3
31,3,0,11,74,1,7,3
32,3,0,11,91,1,7,3
33,3,0,11,83,1,7,3
34,3,0,11,73,1,7,3
35,4,5,90,43,300,5,0
36,4,2,164,149,1,2,0
37,4,2,164,150,1,2,0
38,4,1,11,163,1,1,0
39,4,2,11,162,1,2,0
40,4,4,11,161,1,4,0
41,4,8,11,160,1,8,0
42,4,15,34,95,2,20,0
43,4,10,91,59,30000,10,0
44,4,10,30,110,15000,10,0
45,4,3,103,98,1000,3,0
46,4,5,150,117,1,5,0
47,4,5,150,118,1,5,0
48,5,0,91,59,1500,1000,0
49,5,0,30,110,1000,1000,0
50,5,0,91,59,1000,1500,0
51,5,0,30,110,500,1500,0
52,5,0,21,34,1,300,0
53,5,0,34,95,1,300,0
54,5,0,103,98,150,700,0
55,5,0,103,98,100,900,0
56,5,0,11,73,1,280,0
57,5,0,11,90,1,280,0
58,5,0,11,70,1,280,0
59,5,0,11,78,1,280,0
60,5,0,11,75,1,280,0
61,5,0,11,1,1,280,0
62,5,0,11,4,1,280,0
63,5,0,11,7,1,280,0
64,5,0,11,10,1,280,0
65,5,0,11,13,1,280,0
