story_event_id,announce_id,consume_tp_ratio,bonus_reward_ratio,notice_date,start_date,middle_date_01,middle_date_02,ending_date,end_date
1001,0,0,0,1610679600,1614654000,1615086000,1615431600,1615777199,1616036399
1002,0,0,0,1616727600,1617073200,1617591600,1618110000,1618455599,1618714799
1003,1,0,0,1621825200,1622170800,1622775600,1623034800,1623293999,1623553199
1004,2,0,0,1624849200,1624935600,1625540400,1625799600,1626058799,1626317999
1005,3,0,0,1627441200,1627527600,1628218800,1628478000,1628650799,1628909999
1006,4,20000,20000,1632798000,1632884400,1633402800,1633748400,1633921199,1634180399
1007,5,20000,20000,1635303600,1635390000,1635908400,1636167600,1636340399,1636599599
1008,6,20000,20000,1638068400,1638154800,1638759600,1639018800,1639450799,1639709999
1009,9,20000,20000,1640833200,1640919600,1641265200,1641610800,1641869999,1642129199
1010,10,20000,20000,1643288400,1643338800,1643684400,1643943600,1644289199,1644548399
1011,11,20000,20000,1645585200,1645671600,1646017200,1646190000,1646621999,1646881199
1012,12,20000,20000,1648436400,1648522800,1648868400,1649214000,1649645999,1649905199
1013,13,20000,20000,1651028400,1651114800,1651460400,1651806000,1652151599,1652410799
1014,14,20000,20000,1653829200,1653879600,1654138800,1654484400,1654829999,1655089199
1015,15,20000,20000,1656507600,1656558000,1656730800,1657076400,1657508399,1657767599
1016,16,20000,20000,1658977200,1659063600,1659409200,1659754800,1660100399,1660359599
1017,17,20000,20000,1661655600,1661742000,1662087600,1662433200,1662951599,1663210799
1018,18,20000,20000,1664334000,1664420400,1664679600,1665025200,1665457199,1665716399
1019,19,20000,20000,1666875600,1666926000,1667444400,1667703600,1667962799,1668221999
1020,20,20000,20000,1669518000,1669604400,1670036400,1670295600,1670813999,1671073199
1021,21,20000,20000,1672232400,1672282800,1672714800,1672974000,1673319599,1673578799
1022,22,20000,20000,1674961200,1675047600,1675652400,1675911600,1676257199,1676516399
1023,23,20000,20000,1677121200,1677207600,1677553200,1677726000,1678417199,1678676399
