id,login_bonus_id,count,item_category,item_id,item_num,item_category_2,item_id_2,item_num_2,item_category_3,item_id_3,item_num_3,item_category_4,item_id_4,item_num_4,item_category_5,item_id_5,item_num_5
1,10001,1,90,43,20,0,0,0,0,0,0,0,0,0,0,0,0
2,10001,2,30,110,300,0,0,0,0,0,0,0,0,0,0,0,0
3,10001,3,90,43,20,0,0,0,0,0,0,0,0,0,0,0,0
4,10001,4,91,59,1000,0,0,0,0,0,0,0,0,0,0,0,0
5,10001,5,90,43,20,0,0,0,0,0,0,0,0,0,0,0,0
6,10001,6,103,98,100,0,0,0,0,0,0,0,0,0,0,0,0
7,10001,7,90,43,50,0,0,0,0,0,0,0,0,0,0,0,0
8,20001,1,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
9,20001,2,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
10,20001,3,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
11,20001,4,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
12,20001,5,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
13,20001,6,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
14,20001,7,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
15,20001,8,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
16,20001,9,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
17,20001,10,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
18,30001,1,90,43,1500,0,0,0,0,0,0,0,0,0,0,0,0
19,30002,1,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
20,30003,1,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
21,30004,1,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
22,30005,1,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
23,30006,1,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
24,30007,1,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
25,30008,1,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
26,30008,2,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
27,30008,3,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
28,30008,4,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
29,30008,5,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
30,30008,6,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
31,30008,7,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
32,30008,8,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
33,30008,9,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
34,30008,10,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
35,30009,1,90,43,564,0,0,0,0,0,0,0,0,0,0,0,0
36,30009,2,90,43,564,0,0,0,0,0,0,0,0,0,0,0,0
37,30009,3,90,43,564,0,0,0,0,0,0,0,0,0,0,0,0
38,30009,4,90,43,564,0,0,0,0,0,0,0,0,0,0,0,0
39,30009,5,90,43,564,0,0,0,0,0,0,0,0,0,0,0,0
40,30009,6,90,43,564,0,0,0,0,0,0,0,0,0,0,0,0
41,30009,7,90,43,564,0,0,0,0,0,0,0,0,0,0,0,0
42,30009,8,90,43,564,0,0,0,0,0,0,0,0,0,0,0,0
43,30009,9,90,43,564,0,0,0,0,0,0,0,0,0,0,0,0
44,30009,10,90,43,564,0,0,0,0,0,0,0,0,0,0,0,0
45,30010,1,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
46,30011,1,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
47,30012,1,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
48,30013,1,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
49,30014,1,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
50,30015,1,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
51,30016,1,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
52,30017,1,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
53,30018,1,51,30062,1,90,43,300,0,0,0,0,0,0,0,0,0
54,30018,2,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
55,30018,3,51,30062,1,90,43,300,0,0,0,0,0,0,0,0,0
56,30018,4,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
57,30018,5,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
58,30018,6,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
59,30018,7,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
60,30018,8,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
61,30018,9,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
62,30018,10,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
63,30019,1,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
64,30020,1,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
65,30021,1,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
66,30022,1,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
67,30023,1,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
68,30024,1,90,43,1500,0,0,0,0,0,0,0,0,0,0,0,0
69,30024,2,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
70,30024,3,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
71,30024,4,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
72,30024,5,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
73,30024,6,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
74,30024,7,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
75,30024,8,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
76,30024,9,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
77,30024,10,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
78,30025,1,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
79,30026,1,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
80,30027,1,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
81,30028,1,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
82,30029,1,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
83,30030,1,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
84,30031,1,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
85,30032,1,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
86,30033,1,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
87,30034,1,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
88,30035,1,51,30088,1,90,43,300,0,0,0,0,0,0,0,0,0
89,30035,2,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
90,30035,3,51,30088,1,90,43,300,0,0,0,0,0,0,0,0,0
91,30035,4,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
92,30035,5,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
93,30035,6,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
94,30035,7,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
95,30035,8,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
96,30035,9,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
97,30035,10,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
98,30036,1,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
99,30036,2,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
