id,login_bonus_detail_id,chara_num,chara_id,dress_id,pose_id,chara_id_2,dress_id_2,pose_id_2
1,151,2,1006,100646,10,1021,102101,11
2,152,2,1024,102401,10,1003,100301,11
3,153,2,1011,101101,10,1014,101401,11
4,154,2,1025,102501,10,1029,102901,11
5,155,2,1068,106801,10,1067,106701,11
6,156,2,1015,101501,10,1023,102301,11
7,157,2,1046,104601,10,1037,103701,11
8,158,2,1026,102601,10,1051,105101,11
9,159,2,1047,104701,10,1030,103001,11
10,160,2,1059,105901,10,1010,101001,11
11,161,2,1031,103101,10,1027,102701,11
12,162,2,1040,104001,10,1053,105301,11
13,163,1,1008,100846,10,1009,100946,0
