id,rank,category,start_date,end_date,condition_type,condition_value,condition_value_2,step_group_id,step_order
100101,1,800,2017-01-01 00:00:00,2050-01-01 00:00:00,0,0,0,0,0
100102,1,800,2017-01-01 00:00:00,2050-01-01 00:00:00,0,0,0,0,0
100103,2,800,2017-01-01 00:00:00,2050-01-01 00:00:00,0,0,0,0,0
100104,3,800,2017-01-01 00:00:00,2050-01-01 00:00:00,0,0,0,0,0
100105,4,800,2017-01-01 00:00:00,2050-01-01 00:00:00,0,0,0,0,0
100106,4,800,2017-01-01 00:00:00,2050-01-01 00:00:00,0,0,0,0,0
100120,3,100,2017-01-01 00:00:00,2050-01-01 00:00:00,0,0,0,0,0
100130,2,100,2017-01-01 00:00:00,2050-01-01 00:00:00,0,0,0,0,0
100150,4,100,2017-01-01 00:00:00,2050-01-01 00:00:00,0,0,0,0,0
100151,4,100,2017-01-01 00:00:00,2050-01-01 00:00:00,0,0,0,0,0
100170,4,100,2017-01-01 00:00:00,2050-01-01 00:00:00,0,0,0,0,0
100171,4,100,2021-07-29 12:00:00,2050-01-01 00:00:00,0,0,0,0,0
100180,4,100,2021-07-29 12:00:00,2050-01-01 00:00:00,0,0,0,0,0
100181,4,100,2021-07-29 12:00:00,2050-01-01 00:00:00,0,0,0,0,0
100182,4,100,2021-07-29 12:00:00,2050-01-01 00:00:00,0,0,0,0,0
100183,4,100,2021-07-29 12:00:00,2050-01-01 00:00:00,0,0,0,0,0
100184,4,100,2021-07-29 12:00:00,2050-01-01 00:00:00,0,0,0,0,0
100185,4,100,2021-07-29 12:00:00,2050-01-01 00:00:00,0,0,0,0,0
100186,4,100,2021-07-29 12:00:00,2050-01-01 00:00:00,0,0,0,0,0
100187,4,100,2021-07-29 12:00:00,2050-01-01 00:00:00,0,0,0,0,0
100188,4,100,2021-07-29 12:00:00,2050-01-01 00:00:00,0,0,0,0,0
100190,4,100,2017-01-01 00:00:00,2050-01-01 00:00:00,0,0,0,0,0
100191,4,100,2021-07-29 12:00:00,2050-01-01 00:00:00,0,0,0,0,0
100201,1,100,2017-01-01 00:00:00,2050-01-01 00:00:00,0,0,0,0,0
100202,3,100,2017-01-01 00:00:00,2050-01-01 00:00:00,0,0,0,0,0
100203,4,100,2017-01-01 00:00:00,2050-01-01 00:00:00,0,0,0,0,0
100204,3,100,2017-01-01 00:00:00,2050-01-01 00:00:00,0,0,0,0,0
100211,2,100,2023-01-30 12:00:00,2050-01-01 00:00:00,0,0,0,0,0
100212,3,100,2023-01-30 12:00:00,2050-01-01 00:00:00,0,0,0,0,0
100213,3,100,2023-01-30 12:00:00,2050-01-01 00:00:00,0,0,0,0,0
100214,4,100,2023-01-30 12:00:00,2050-01-01 00:00:00,0,0,0,0,0
100251,3,100,2023-01-30 12:00:00,2050-01-01 00:00:00,0,0,0,0,0
100252,3,100,2023-01-30 12:00:00,2050-01-01 00:00:00,0,0,0,0,0
100253,3,100,2023-01-30 12:00:00,2050-01-01 00:00:00,0,0,0,0,0
100254,3,100,2023-01-30 12:00:00,2050-01-01 00:00:00,0,0,0,0,0
100255,3,100,2023-01-30 12:00:00,2050-01-01 00:00:00,0,0,0,0,0
100256,3,100,2023-01-30 12:00:00,2050-01-01 00:00:00,0,0,0,0,0
100257,3,100,2023-01-30 12:00:00,2050-01-01 00:00:00,0,0,0,0,0
100258,3,100,2023-01-30 12:00:00,2050-01-01 00:00:00,0,0,0,0,0
100259,3,100,2023-01-30 12:00:00,2050-01-01 00:00:00,0,0,0,0,0
100260,3,100,2023-01-30 12:00:00,2050-01-01 00:00:00,0,0,0,0,0
100301,1,200,2017-01-01 00:00:00,2050-01-01 00:00:00,0,0,0,0,0
100302,2,200,2017-01-01 00:00:00,2050-01-01 00:00:00,0,0,0,0,0
100303,3,200,2017-01-01 00:00:00,2050-01-01 00:00:00,0,0,0,0,0
100304,4,200,2017-01-01 00:00:00,2050-01-01 00:00:00,0,0,0,0,0
100401,2,200,2017-01-01 00:00:00,2050-01-01 00:00:00,0,0,0,0,0
100402,3,200,2017-01-01 00:00:00,2050-01-01 00:00:00,0,0,0,0,0
100403,4,200,2017-01-01 00:00:00,2050-01-01 00:00:00,0,0,0,0,0
100501,4,300,2017-01-01 00:00:00,2050-01-01 00:00:00,0,0,0,0,0
100502,4,300,2017-01-01 00:00:00,2050-01-01 00:00:00,0,0,0,0,0
100503,4,300,2017-01-01 00:00:00,2050-01-01 00:00:00,0,0,0,0,0
100504,4,300,2017-01-01 00:00:00,2050-01-01 00:00:00,0,0,0,0,0
100505,4,300,2017-01-01 00:00:00,2050-01-01 00:00:00,0,0,0,0,0
100506,4,300,2017-01-01 00:00:00,2050-01-01 00:00:00,0,0,0,0,0
100507,4,300,2017-01-01 00:00:00,2050-01-01 00:00:00,0,0,0,0,0
100508,4,300,2017-01-01 00:00:00,2050-01-01 00:00:00,0,0,0,0,0
100509,4,300,2017-01-01 00:00:00,2050-01-01 00:00:00,0,0,0,0,0
100510,4,300,2017-01-01 00:00:00,2050-01-01 00:00:00,0,0,0,0,0
100511,4,300,2022-08-19 12:00:00,2050-01-01 00:00:00,0,0,0,0,0
100512,4,300,2022-08-19 12:00:00,2050-01-01 00:00:00,0,0,0,0,0
100513,4,300,2022-08-19 12:00:00,2050-01-01 00:00:00,0,0,0,0,0
100514,4,300,2022-08-19 12:00:00,2050-01-01 00:00:00,0,0,0,0,0
100530,4,300,2017-01-01 00:00:00,2050-01-01 00:00:00,0,0,0,0,0
100540,1,300,2017-01-01 00:00:00,2050-01-01 00:00:00,0,0,0,0,0
100541,4,300,2017-01-01 00:00:00,2050-01-01 00:00:00,0,0,0,0,0
100550,1,800,2017-01-01 00:00:00,2050-01-01 00:00:00,0,0,0,0,0
100551,4,800,2017-01-01 00:00:00,2050-01-01 00:00:00,0,0,0,0,0
100552,4,800,2017-01-01 00:00:00,2050-01-01 00:00:00,0,0,0,0,0
