difficulty_id,difficulty,description_id,difficulty_index,condition_type,condition_value,condition_type_2,condition_value_2,result_type,difficulty_rate,difficulty_motivation,continue_flag,addition_skill,special_flag,gauge_rate,item_category,item_id,max_num,firstclear_item_category,firstclear_item_id,firstclear_num
1000,200,0,0,0,0,0,0,1,10500,0,0,0,0,0,91,59,1200000,0,0,0
1001,401,0,1,1,0,0,0,1,10300,0,0,0,0,100,0,0,0,0,0,0
1001,402,0,2,1,401,0,0,1,10500,0,0,0,0,200,0,0,0,0,0,0
1001,403,0,3,1,402,0,0,1,10700,0,0,0,0,300,0,0,0,0,0,0
1001,404,0,4,1,403,0,0,1,10700,5,0,0,0,400,0,0,0,0,0,0
1001,405,0,5,1,404,0,0,1,11300,5,1,0,0,500,0,0,0,0,0,0
1002,200,1,1,0,0,0,0,2,10500,0,0,0,0,0,0,0,0,0,0,0
1002,300,2,2,2,0,2,1,2,12000,0,0,1100011,1,0,91,59,1200000,55,330201,1
1003,401,0,1,1,0,0,0,2,10300,0,0,0,0,100,0,0,0,0,0,0
1003,402,0,2,1,401,0,0,2,10500,0,0,0,0,200,0,0,0,0,0,0
1003,403,0,3,1,402,0,0,2,10700,0,0,0,0,300,0,0,0,0,0,0
1003,404,0,4,1,403,0,0,2,10700,5,0,0,0,400,0,0,0,0,0,0
1003,405,0,5,1,404,0,0,2,11300,5,0,0,0,500,0,0,0,0,0,0
