id,part_id,episode_index,prev_episode_index,next_episode_index,story_number,display_type,story_type_1,story_id_1,story_type_2,story_id_2,story_type_3,story_id_3,story_type_4,story_id_4,story_type_5,story_id_5,lock_type_1,lock_value_1_1,lock_value_1_2,lock_type_2,lock_value_2_1,lock_value_2_2,lock_type_3,lock_value_3_1,lock_value_3_2,add_reward_category_1,add_reward_id_1,add_reward_num_1
101,1,1,0,2,1,0,3,20000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
102,1,2,1,3,2,0,1,20001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
103,1,3,2,4,3,0,1,20001021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
104,1,4,3,5,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
105,1,5,4,6,4,0,1,20001031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
106,1,6,5,7,5,0,1,20001041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
107,1,7,6,8,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
108,1,8,7,9,6,0,1,20001051,3,20001052,1,20001053,2,2,0,0,0,0,0,0,0,0,0,0,0,90,43,30
109,1,9,8,10,7,0,1,20001061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
110,1,10,9,11,8,0,1,20001071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
111,1,11,10,12,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
112,1,12,11,13,9,0,1,20001081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
113,1,13,12,14,10,0,1,20001091,3,20001092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
114,1,14,13,15,11,0,1,20001101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
115,1,15,14,16,12,0,1,20001111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
116,1,16,15,17,13,0,1,20001121,3,20001122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
117,1,17,16,18,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
118,1,18,17,0,14,0,1,20001131,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,30022,1
201,2,1,0,2,1,0,1,20002011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
202,2,2,1,3,2,0,1,20002021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
203,2,3,2,4,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
204,2,4,3,5,3,0,1,20002031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
205,2,5,4,6,4,0,1,20002041,3,20002042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
206,2,6,5,7,5,0,1,20002051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
207,2,7,6,8,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
208,2,8,7,9,6,0,1,20002061,3,20002062,1,20002063,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
209,2,9,8,10,7,0,1,20002071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
210,2,10,9,11,8,0,1,20002081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
211,2,11,10,12,9,0,1,20002091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
212,2,12,11,13,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
213,2,13,12,14,10,0,1,20002101,3,20002102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
214,2,14,13,15,11,0,1,20002111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
215,2,15,14,16,12,0,1,20002121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
216,2,16,15,17,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
217,2,17,16,0,13,0,1,20002131,2,3,1,20002133,0,0,0,0,0,0,0,0,0,0,0,0,0,51,30023,1
218,3,1,0,2,1,0,1,20003011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
219,3,2,1,3,2,0,1,20003021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
220,3,3,2,4,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
221,3,4,3,5,3,0,1,20003031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
222,3,5,4,6,4,0,1,20003041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
223,3,6,5,7,5,0,1,20003051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
224,3,7,6,8,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
225,3,8,7,9,6,0,1,20003061,3,20003062,1,20003063,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
226,3,9,8,10,7,0,1,20003071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
227,3,10,9,11,8,0,1,20003081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30
