id,round_id,win_percent_type,resource_id,bashin_min,bashin_max,running_style,race_track_id,ground,distance,weather,sub_title
1,1,0,1,0,5,0,0,0,0,0,27
2,1,0,1,9,9,0,0,0,0,0,27
3,1,0,1,11,11,0,0,0,0,0,27
4,1,0,1,13,20,0,0,0,0,0,27
5,1,0,2,0,5,0,0,0,0,0,29
6,1,0,2,9,9,0,0,0,0,0,29
7,1,0,2,11,11,0,0,0,0,0,29
8,1,0,2,13,20,0,0,0,0,0,29
9,1,0,3,0,5,0,0,0,0,0,7
10,1,0,3,9,9,0,0,0,0,0,7
11,1,0,3,11,11,0,0,0,0,0,7
12,1,0,3,13,20,0,0,0,0,0,7
13,1,0,4,0,5,0,0,0,0,0,9
14,1,0,4,9,9,0,0,0,0,0,9
15,1,0,4,11,11,0,0,0,0,0,9
16,1,0,4,13,20,0,0,0,0,0,9
17,1,0,5,0,5,0,0,0,0,0,11
18,1,0,5,9,9,0,0,0,0,0,11
19,1,0,5,11,11,0,0,0,0,0,11
20,1,0,5,13,20,0,0,0,0,0,11
21,1,0,6,0,5,0,0,0,0,0,13
22,1,0,6,9,9,0,0,0,0,0,13
23,1,0,6,11,11,0,0,0,0,0,13
24,1,0,6,13,20,0,0,0,0,0,13
25,1,0,7,0,5,0,0,0,0,0,15
26,1,0,7,9,9,0,0,0,0,0,15
27,1,0,7,11,11,0,0,0,0,0,15
28,1,0,7,13,20,0,0,0,0,0,15
29,1,0,8,0,5,0,0,0,0,0,17
30,1,0,8,9,9,0,0,0,0,0,17
31,1,0,8,11,11,0,0,0,0,0,17
32,1,0,8,13,20,0,0,0,0,0,17
33,1,0,9,0,5,0,0,0,0,0,19
34,1,0,9,9,9,0,0,0,0,0,19
35,1,0,9,11,11,0,0,0,0,0,19
36,1,0,9,13,20,0,0,0,0,0,19
37,1,0,10,0,5,0,0,0,0,0,21
38,1,0,10,9,9,0,0,0,0,0,21
39,1,0,10,11,11,0,0,0,0,0,21
40,1,0,10,13,20,0,0,0,0,0,21
41,1,0,11,0,5,0,0,0,0,0,23
42,1,0,11,9,9,0,0,0,0,0,23
43,1,0,11,11,11,0,0,0,0,0,23
44,1,0,11,13,20,0,0,0,0,0,23
45,1,0,12,0,5,0,0,0,0,0,25
46,1,0,12,9,9,0,0,0,0,0,25
47,1,0,12,11,11,0,0,0,0,0,25
48,1,0,12,13,20,0,0,0,0,0,25
49,1,0,1,0,20,0,0,0,0,0,27
50,1,0,2,0,20,0,0,0,0,0,29
51,1,0,3,0,20,0,0,0,0,0,7
52,1,0,4,0,20,0,0,0,0,0,9
53,1,0,5,0,20,0,0,0,0,0,11
54,1,0,6,0,20,0,0,0,0,0,13
55,1,0,7,0,20,0,0,0,0,0,15
56,1,0,8,0,20,0,0,0,0,0,17
57,1,0,9,0,20,0,0,0,0,0,19
58,1,0,10,0,20,0,0,0,0,0,21
59,1,0,11,0,20,0,0,0,0,0,23
60,1,0,12,0,20,0,0,0,0,0,25
61,1,0,1,0,20,0,0,0,0,0,27
62,1,0,2,0,20,0,0,0,0,0,29
63,1,0,3,0,20,0,0,0,0,0,7
64,1,0,4,0,20,0,0,0,0,0,9
65,1,0,5,0,20,0,0,0,0,0,11
66,1,0,6,0,20,0,0,0,0,0,13
67,1,0,7,0,20,0,0,0,0,0,15
68,1,0,8,0,20,0,0,0,0,0,17
69,1,0,9,0,20,0,0,0,0,0,19
70,1,0,10,0,20,0,0,0,0,0,21
71,1,0,11,0,20,0,0,0,0,0,23
72,1,0,12,0,20,0,0,0,0,0,25
73,1,0,1,0,20,0,0,0,0,0,27
74,1,0,2,0,20,0,0,0,0,0,29
75,1,0,3,0,20,0,0,0,0,0,7
76,1,0,4,0,20,0,0,0,0,0,9
77,1,0,5,0,20,0,0,0,0,0,11
78,1,0,6,0,20,0,0,0,0,0,13
79,1,0,7,0,20,0,0,0,0,0,15
80,1,0,8,0,20,0,0,0,0,0,17
81,1,0,9,0,20,0,0,0,0,0,19
82,1,0,10,0,20,0,0,0,0,0,21
83,1,0,11,0,20,0,0,0,0,0,23
84,1,0,12,0,20,0,0,0,0,0,25
85,1,0,0,0,20,0,0,0,0,0,300
86,1,0,0,0,20,0,0,0,0,0,301
87,1,0,0,0,20,0,0,0,0,0,302
88,1,0,0,0,20,0,0,0,0,0,303
89,1,0,0,0,20,0,0,0,0,0,304
90,1,0,0,0,20,0,0,0,0,0,305
91,1,0,0,0,20,0,0,0,0,0,306
92,1,0,0,0,20,0,0,0,0,0,307
93,1,0,0,0,20,0,0,0,0,0,308
94,1,0,0,0,20,0,0,0,0,0,309
95,1,0,0,0,20,0,0,0,0,0,310
96,1,0,0,0,20,0,0,0,0,0,311
97,1,0,0,0,20,0,0,0,0,0,312
98,1,0,0,0,20,0,0,0,0,0,313
99,1,0,0,0,20,0,0,0,0,0,314
100,1,0,1,0,5,0,0,0,0,0,27
101,1,0,2,0,5,0,0,0,0,0,29
102,1,0,3,0,5,0,0,0,0,0,7
103,1,0,4,0,5,0,0,0,0,0,9
104,1,0,5,0,5,0,0,0,0,0,11
105,1,0,6,0,5,0,0,0,0,0,13
106,1,0,7,0,5,0,0,0,0,0,15
107,1,0,8,0,5,0,0,0,0,0,17
108,1,0,9,0,5,0,0,0,0,0,19
109,1,0,10,0,5,0,0,0,0,0,21
110,1,0,11,0,5,0,0,0,0,0,23
111,1,0,12,0,5,0,0,0,0,0,25
112,1,0,0,0,5,0,0,0,0,0,315
113,1,0,0,0,5,0,0,0,0,0,316
114,1,0,0,0,5,0,0,0,0,0,317
115,1,0,0,0,5,0,0,0,0,0,318
116,1,0,0,0,5,0,0,0,0,0,319
117,1,0,0,11,20,0,0,0,0,0,320
118,1,0,0,11,20,0,0,0,0,0,321
119,1,0,0,11,20,0,0,0,0,0,322
120,1,0,0,11,20,0,0,0,0,0,323
121,1,0,0,11,20,0,0,0,0,0,324
122,1,0,0,14,20,0,0,0,0,0,325
123,1,0,0,14,20,0,0,0,0,0,326
124,1,0,0,14,20,0,0,0,0,0,327
125,1,0,0,14,20,0,0,0,0,0,328
126,1,0,0,14,20,0,0,0,0,0,329
127,1,1,1,0,20,0,0,0,0,0,27
128,1,1,2,0,20,0,0,0,0,0,29
