id,challenge_match_id,disp_order,challenge_match_bg_id,challenge_match_bg_sub_id,difficulty,race_type,race_appearance_rate,race_instance_id,season,weather,ground,challenge_match_race_boss_npc_id,cost_rp,drop_reward_odds_id,victory_reward_odds_id,first_clear_item_category_1,first_clear_item_id_1,first_clear_item_num_1,first_clear_item_category_2,first_clear_item_id_2,first_clear_item_num_2,first_clear_item_category_3,first_clear_item_id_3,first_clear_item_num_3,pick_up_item_category_1,pick_up_item_id_1,pick_up_item_num_1,pick_up_item_category_2,pick_up_item_id_2,pick_up_item_num_2,pick_up_item_category_3,pick_up_item_id_3,pick_up_item_num_3,pick_up_item_category_4,pick_up_item_id_4,pick_up_item_num_4,pick_up_item_category_5,pick_up_item_id_5,pick_up_item_num_5
1,1,1,77,111,3,0,0,630001,4,1,1,1,1,10101,0,90,43,150,91,59,10000,30,110,5000,102,101101,1,11,4,1,103,98,1,91,59,1,30,110,1
2,1,2,77,111,3,0,0,630002,4,1,1,2,1,10102,0,90,43,150,91,59,10000,30,110,5000,102,106101,1,11,4,1,103,98,1,91,59,1,30,110,1
3,1,3,77,111,3,0,0,630003,4,1,1,3,1,10103,0,90,43,150,91,59,10000,30,110,5000,102,102001,1,11,7,1,103,98,1,91,59,1,30,110,1
4,1,4,77,111,3,0,0,630004,4,1,1,4,1,10104,0,90,43,150,91,59,10000,30,110,5000,102,100101,1,11,7,1,103,98,1,91,59,1,30,110,1
5,1,5,24,111,4,1,60,630005,4,1,1,5,1,10105,0,90,43,150,91,59,10000,30,110,5000,102,101401,1,20,32,1,93,44,1,91,59,1,30,110,1
6,1,6,24,111,5,1,40,630006,4,1,1,6,1,10106,0,90,43,150,91,59,10000,30,110,5000,102,101402,1,20,32,1,93,44,1,91,59,1,30,110,1
7,2,1,77,111,3,0,0,630007,5,1,1,7,1,10107,0,90,43,150,91,59,10000,30,110,5000,102,103501,1,11,7,1,103,98,1,91,59,1,30,110,1
8,2,2,77,111,3,0,0,630008,5,1,1,8,1,10108,0,90,43,150,91,59,10000,30,110,5000,102,103201,1,11,7,1,103,98,1,91,59,1,30,110,1
9,2,3,77,111,3,0,0,630009,5,1,1,9,1,10109,0,90,43,150,91,59,10000,30,110,5000,102,100501,1,11,7,1,103,98,1,91,59,1,30,110,1
10,2,4,77,111,3,0,0,630010,5,1,1,10,1,10110,0,90,43,150,91,59,10000,30,110,5000,102,100301,1,11,7,1,103,98,1,91,59,1,30,110,1
11,2,5,77,111,4,1,70,630011,5,1,1,11,1,10111,0,90,43,150,91,59,10000,30,110,5000,102,101701,1,20,32,1,93,44,1,91,59,1,30,110,1
12,2,6,77,111,5,1,30,630012,5,1,1,12,1,10112,0,90,43,150,91,59,10000,30,110,5000,102,101702,1,20,32,1,93,44,1,91,59,1,30,110,1
13,3,1,79,111,3,0,0,630013,4,1,1,13,1,10113,0,90,43,150,91,59,10000,30,110,5000,102,102801,1,11,1,1,103,98,1,91,59,1,30,110,1
14,3,2,77,111,3,0,0,630014,4,1,1,14,1,10114,0,90,43,150,91,59,10000,30,110,5000,102,105101,1,11,1,1,103,98,1,91,59,1,30,110,1
15,3,3,24,111,3,0,0,630015,4,1,1,15,1,10115,0,90,43,150,91,59,10000,30,110,5000,102,101001,1,11,1,1,103,98,1,91,59,1,30,110,1
16,3,4,88,111,3,0,0,630016,4,1,1,16,1,10116,0,90,43,150,91,59,10000,30,110,5000,102,105301,1,11,1,1,103,98,1,91,59,1,30,110,1
17,3,5,88,111,4,1,70,630017,4,1,1,17,1,10117,0,90,43,150,91,59,10000,30,110,5000,102,103801,1,20,32,1,93,44,1,91,59,1,30,110,1
18,3,6,88,111,5,1,30,630018,4,1,1,18,1,10118,0,90,43,150,91,59,10000,30,110,5000,102,103802,1,20,32,1,93,44,1,91,59,1,30,110,1
